"male","outdegp","indegp","indeg","outdeg","age","agetodayf","agetodaym","ageatdeathf","ageatdeathm","fid","mid"
1,13,12,6,8,28.0300006866455,54.1500015258789,59.0699996948242,NA,NA,"jujn3","uy3tw"
1,24,19,15,2,38.7200012207031,65.0999984741211,65.0100021362305,NA,NA,"so9ie","dmmws"
0,NA,NA,1,2,51.1100006103516,NA,NA,NA,NA,NA,NA
0,NA,NA,10,11,67.1999969482422,NA,NA,NA,NA,NA,NA
1,NA,NA,13,8,63.6100006103516,NA,NA,NA,NA,NA,NA
0,NA,NA,14,5,61.0999984741211,NA,NA,NA,NA,NA,NA
1,8,7,10,12,34.4500007629395,67.2699966430664,67.6800003051758,NA,NA,"oog8s","g89ye"
0,NA,NA,26,29,54.8800010681152,NA,NA,NA,NA,NA,NA
1,NA,NA,10,12,38.5099983215332,NA,NA,NA,NA,NA,NA
0,NA,NA,15,10,36.0200004577637,NA,NA,NA,NA,NA,NA
0,2,7,8,12,29.9200000762939,68.1800003051758,67.879997253418,NA,NA,"pyrbf","dw9ha"
0,NA,NA,12,4,50.0400009155273,NA,NA,NA,NA,NA,NA
0,NA,NA,8,0,54.8800010681152,NA,NA,NA,NA,NA,NA
0,NA,NA,20,27,57.6399993896484,NA,NA,NA,NA,NA,NA
0,NA,NA,12,5,58.9700012207031,NA,NA,NA,NA,NA,NA
1,NA,NA,7,10,68.2900009155273,NA,NA,NA,NA,NA,NA
1,NA,NA,4,8,62.8800010681152,NA,NA,NA,NA,NA,NA
1,9,9,7,5,27.5400009155273,66.0100021362305,65.4899978637695,NA,NA,"ku4em","u9r1z"
1,NA,NA,11,12,46.3600006103516,NA,NA,NA,NA,NA,NA
0,NA,NA,17,20,60.0200004577637,NA,NA,NA,NA,NA,NA
0,NA,NA,10,4,59.6599998474121,NA,NA,NA,NA,NA,NA
0,NA,NA,9,9,65.4899978637695,NA,NA,NA,NA,NA,NA
0,NA,NA,11,11,55.1500015258789,NA,NA,NA,NA,NA,NA
1,NA,NA,12,10,54.060001373291,NA,NA,NA,NA,NA,NA
1,NA,NA,2,0,44,NA,NA,NA,NA,NA,NA
0,NA,NA,6,5,45,NA,NA,NA,NA,NA,NA
0,NA,NA,15,16,59.1699981689453,NA,NA,NA,NA,NA,NA
0,6,7,10,14,34.3300018310547,67.7200012207031,65.5299987792969,NA,NA,"jloo0","obpg7"
1,NA,NA,11,11,61.2299995422363,NA,NA,NA,NA,NA,NA
0,NA,NA,7,11,64.9700012207031,NA,NA,NA,NA,NA,NA
1,NA,NA,3,4,67,NA,NA,NA,NA,NA,NA
1,NA,NA,3,0,86.4899978637695,NA,NA,NA,NA,NA,NA
1,NA,NA,6,0,84,NA,NA,NA,NA,NA,NA
1,NA,NA,10,9,60.939998626709,NA,NA,NA,NA,NA,NA
0,NA,NA,11,15,45.3899993896484,NA,NA,NA,NA,NA,NA
1,NA,NA,8,10,33.310001373291,NA,NA,NA,NA,NA,NA
1,NA,NA,19,17,64.5699996948242,NA,NA,NA,NA,NA,NA
1,NA,NA,5,3,72.9300003051758,NA,NA,NA,NA,NA,NA
1,NA,NA,8,1,74.8600006103516,NA,NA,NA,NA,NA,NA
1,NA,NA,9,11,57.1500015258789,NA,NA,NA,NA,NA,NA
0,NA,NA,6,5,59.6300010681152,NA,NA,NA,NA,NA,NA
1,NA,NA,21,30,55.4599990844727,NA,NA,NA,NA,NA,NA
1,NA,NA,4,10,80.3000030517578,NA,NA,NA,NA,NA,NA
0,NA,NA,10,10,69.1999969482422,NA,NA,NA,NA,NA,NA
0,NA,NA,10,4,57.5499992370605,NA,NA,NA,NA,NA,NA
0,NA,NA,6,0,66.120002746582,NA,NA,NA,NA,NA,NA
0,NA,NA,8,0,40,NA,NA,NA,NA,NA,NA
0,NA,NA,14,12,50.3400001525879,NA,NA,NA,NA,NA,NA
0,NA,NA,7,3,48.8199996948242,NA,NA,NA,NA,NA,NA
0,NA,NA,9,10,88.6600036621094,NA,NA,NA,NA,NA,NA
1,17,12,7,5,29.9799995422363,66.6500015258789,65.6800003051758,NA,NA,"dacdl","ezehb"
0,NA,NA,6,1,68,NA,NA,NA,NA,NA,NA
0,NA,NA,11,11,33.75,NA,NA,NA,NA,NA,NA
0,NA,NA,9,12,58.2799987792969,NA,NA,NA,NA,NA,NA
0,NA,NA,10,0,79.6800003051758,NA,NA,NA,NA,NA,NA
0,NA,NA,6,8,41.7700004577637,NA,NA,NA,NA,NA,NA
1,NA,NA,1,2,53.1300010681152,NA,NA,NA,NA,NA,NA
0,7,12,7,12,34.9099998474121,66.2099990844727,61.1300010681152,NA,NA,"jg12p","qr3nm"
1,NA,NA,15,9,73.4499969482422,NA,NA,NA,NA,NA,NA
1,NA,NA,9,9,66.0100021362305,NA,NA,NA,NA,NA,NA
1,NA,NA,11,10,64.2200012207031,NA,NA,NA,NA,NA,NA
0,5,5,5,5,27.2299995422363,61.9199981689453,52.9700012207031,NA,31.5599994659424,"j6nps","jcn7l"
0,7,16,13,16,40.3899993896484,70.1999969482422,70.2200012207031,69.9899978637695,NA,"y9zu2","a2gi0"
0,NA,NA,5,13,44.7700004577637,NA,NA,NA,NA,NA,NA
1,NA,NA,10,13,42.8600006103516,NA,NA,NA,NA,NA,NA
1,NA,NA,6,16,74.3099975585938,NA,NA,NA,NA,NA,NA
0,NA,NA,5,0,42,NA,NA,NA,NA,NA,NA
1,29,26,4,5,26.2099990844727,59.6300010681152,54.8800010681152,NA,NA,"ig9h9","gp25h"
0,NA,NA,7,13,59.7000007629395,NA,NA,NA,NA,NA,NA
1,NA,NA,13,16,50.3899993896484,NA,NA,NA,NA,NA,NA
0,NA,NA,5,7,42.6100006103516,NA,NA,NA,NA,NA,NA
1,NA,NA,28,57,58.5400009155273,NA,NA,NA,NA,NA,NA
1,NA,NA,11,13,64.2799987792969,NA,NA,NA,NA,NA,NA
0,NA,NA,10,20,37.1800003051758,NA,NA,NA,NA,NA,NA
1,5,5,6,19,59.060001373291,75.8000030517578,82.4000015258789,NA,NA,"chut5","hsuo3"
1,NA,NA,7,7,79.6100006103516,NA,NA,NA,NA,NA,NA
0,NA,NA,9,11,39.9000015258789,NA,NA,NA,NA,NA,NA
1,NA,NA,10,11,53.1500015258789,NA,NA,NA,NA,NA,NA
0,NA,NA,3,0,58.2799987792969,NA,NA,NA,NA,NA,NA
1,NA,NA,6,5,52.7999992370605,NA,NA,NA,NA,NA,NA
0,NA,NA,8,0,72.6500015258789,NA,NA,NA,NA,NA,NA
1,9,10,6,8,36.7000007629395,65.0699996948242,64.120002746582,61,NA,"yxa62","qkbfz"
1,NA,NA,8,1,64.9300003051758,NA,NA,NA,NA,NA,NA
1,17,19,18,18,34.2900009155273,64.5699996948242,61.1199989318848,NA,NA,"ckc0g","vyrpd"
1,NA,NA,7,6,71.379997253418,NA,NA,NA,NA,NA,NA
0,3,11,0,0,36.3199996948242,87.75,65.9599990844727,81.9199981689453,NA,"ngr2y","iay3k"
0,NA,NA,24,30,56.1800003051758,NA,NA,NA,NA,NA,NA
0,NA,NA,11,10,49.9199981689453,NA,NA,NA,NA,NA,NA
0,NA,NA,6,0,32.5999984741211,NA,NA,NA,NA,NA,NA
1,NA,NA,19,24,65.0999984741211,NA,NA,NA,NA,NA,NA
0,NA,NA,8,12,60.8199996948242,NA,NA,NA,NA,NA,NA
0,NA,NA,9,10,42.0800018310547,NA,NA,NA,NA,NA,NA
0,NA,NA,7,7,63.2099990844727,NA,NA,NA,NA,NA,NA
0,NA,NA,11,3,65.9599990844727,NA,NA,NA,NA,NA,NA
0,NA,NA,8,0,65.7399978637695,NA,NA,NA,NA,NA,NA
0,NA,NA,12,22,77.8600006103516,NA,NA,NA,NA,NA,NA
1,NA,NA,11,11,54.1599998474121,NA,NA,NA,NA,NA,NA
0,NA,NA,13,9,66.120002746582,NA,NA,NA,NA,NA,NA
1,9,13,12,14,32.9900016784668,66.6399993896484,66.120002746582,NA,NA,"lge7y","m5cr4"
1,NA,NA,7,13,63.2999992370605,NA,NA,NA,NA,NA,NA
1,NA,NA,5,1,69.5100021362305,NA,NA,NA,NA,NA,NA
0,NA,NA,4,6,74.4700012207031,NA,NA,NA,NA,NA,NA
1,NA,NA,7,8,51.8199996948242,NA,NA,NA,NA,NA,NA
0,9,13,10,18,35.689998626709,66.6399993896484,66.120002746582,NA,NA,"lge7y","m5cr4"
1,NA,NA,9,14,53.1500015258789,NA,NA,NA,NA,NA,NA
0,NA,NA,6,6,74.8600006103516,NA,NA,NA,NA,NA,NA
1,NA,NA,10,11,54.0900001525879,NA,NA,NA,NA,NA,NA
0,NA,NA,5,3,60.0900001525879,NA,NA,NA,NA,NA,NA
0,12,9,12,13,29.4899997711182,59.9799995422363,66.0400009155273,NA,NA,"h7q40","ig38n"
0,0,7,8,0,24.2900009155273,NA,52.4199981689453,NA,NA,"y2axe","fg8dd"
1,NA,NA,7,2,68.1800003051758,NA,NA,NA,NA,NA,NA
0,NA,NA,6,13,53.9099998474121,NA,NA,NA,NA,NA,NA
0,NA,NA,8,1,63.5099983215332,NA,NA,NA,NA,NA,NA
1,NA,NA,9,12,49.4199981689453,NA,NA,NA,NA,NA,NA
0,NA,NA,8,8,80.1100006103516,NA,NA,NA,NA,NA,NA
1,NA,NA,14,0,73.5500030517578,NA,NA,NA,NA,NA,NA
1,57,28,13,17,24.8199996948242,58.5400009155273,61.0299987792969,NA,NA,"eurf6","d2m70"
1,NA,NA,8,14,58.5999984741211,NA,NA,NA,NA,NA,NA
1,NA,NA,12,18,36.7799987792969,NA,NA,NA,NA,NA,NA
1,3,11,10,11,41.0099983215332,87.75,65.9599990844727,81.9199981689453,NA,"ngr2y","iay3k"
0,NA,NA,8,11,84.8600006103516,NA,NA,NA,NA,NA,NA
1,NA,NA,2,0,74.3899993896484,NA,NA,NA,NA,NA,NA
0,NA,NA,15,14,55.6100006103516,NA,NA,NA,NA,NA,NA
1,0,2,5,10,42.2400016784668,74.3899993896484,76.3099975585938,NA,59.8699989318848,"al3dl","pqskf"
1,NA,NA,2,0,64.5299987792969,NA,NA,NA,NA,NA,NA
1,NA,NA,15,2,66.4199981689453,NA,NA,NA,NA,NA,NA
0,NA,NA,19,17,61.1199989318848,NA,NA,NA,NA,NA,NA
0,NA,NA,6,19,55.6100006103516,NA,NA,NA,NA,NA,NA
0,NA,NA,6,9,56.9300003051758,NA,NA,NA,NA,NA,NA
0,NA,NA,16,18,67.3099975585938,NA,NA,NA,NA,NA,NA
1,NA,NA,9,22,53.0699996948242,NA,NA,NA,NA,NA,NA
1,NA,NA,6,7,70.9599990844727,NA,NA,NA,NA,NA,NA
0,NA,NA,8,14,58.6300010681152,NA,NA,NA,NA,NA,NA
0,11,10,16,25,44.4599990844727,65.6999969482422,74.2399978637695,24.7000007629395,NA,"i3v18","cibrq"
0,NA,NA,6,7,62.2099990844727,NA,NA,NA,NA,NA,NA
1,NA,NA,13,9,36.7900009155273,NA,NA,NA,NA,NA,NA
0,NA,NA,16,7,43.1599998474121,NA,NA,NA,NA,NA,NA
0,NA,NA,16,10,50.9300003051758,NA,NA,NA,NA,NA,NA
0,NA,NA,15,30,59.9799995422363,NA,NA,NA,NA,NA,NA
0,NA,NA,10,4,55.7599983215332,NA,NA,NA,NA,NA,NA
0,NA,NA,21,30,54.7000007629395,NA,NA,NA,NA,NA,NA
1,NA,NA,7,9,41.9000015258789,NA,NA,NA,NA,NA,NA
1,NA,NA,4,6,68.6999969482422,NA,NA,NA,NA,NA,NA
1,5,5,11,15,46.3800010681152,75.8000030517578,82.4000015258789,NA,NA,"chut5","hsuo3"
0,NA,NA,7,0,52.9900016784668,NA,NA,NA,NA,NA,NA
0,NA,NA,16,32,31.1900005340576,NA,NA,NA,NA,NA,NA
1,NA,NA,13,8,27.0900001525879,NA,NA,NA,NA,NA,NA
1,NA,NA,15,12,78.2399978637695,NA,NA,NA,NA,NA,NA
0,NA,NA,7,6,66.9100036621094,NA,NA,NA,NA,NA,NA
0,NA,NA,16,19,50.2299995422363,NA,NA,NA,NA,NA,NA
0,NA,NA,6,1,66.1600036621094,NA,NA,NA,NA,NA,NA
0,NA,NA,12,18,65.4199981689453,NA,NA,NA,NA,NA,NA
0,NA,NA,6,5,50.0299987792969,NA,NA,NA,NA,NA,NA
0,3,11,10,12,33.9199981689453,87.75,65.9599990844727,81.9199981689453,NA,"ngr2y","iay3k"
0,NA,NA,10,11,59.4599990844727,NA,NA,NA,NA,NA,NA
0,NA,NA,6,7,77.4899978637695,NA,NA,NA,NA,NA,NA
0,NA,NA,10,12,72.4300003051758,NA,NA,NA,NA,NA,NA
0,NA,NA,7,0,64.3300018310547,NA,NA,NA,NA,NA,NA
0,NA,NA,7,0,66.6900024414062,NA,NA,NA,NA,NA,NA
1,NA,NA,10,14,45.3899993896484,NA,NA,NA,NA,NA,NA
1,NA,NA,10,10,63.7099990844727,NA,NA,NA,NA,NA,NA
1,NA,NA,10,18,35.7799987792969,NA,NA,NA,NA,NA,NA
0,0,7,14,9,38.560001373291,72.1699981689453,64.3300018310547,39.1699981689453,NA,"qupia","r91ce"
0,NA,NA,9,11,72.7600021362305,NA,NA,NA,NA,NA,NA
0,NA,NA,12,17,65.6800003051758,NA,NA,NA,NA,NA,NA
1,48,31,10,14,23.3299999237061,52.9599990844727,48.3699989318848,NA,NA,"i84a8","ebups"
0,NA,NA,9,9,50.2400016784668,NA,NA,NA,NA,NA,NA
1,NA,NA,6,0,86.3000030517578,NA,NA,NA,NA,NA,NA
0,NA,NA,11,2,77.2799987792969,NA,NA,NA,NA,NA,NA
0,NA,NA,11,9,68.4100036621094,NA,NA,NA,NA,NA,NA
0,NA,NA,6,2,68.1999969482422,NA,NA,NA,NA,NA,NA
0,NA,NA,3,8,57.5200004577637,NA,NA,NA,NA,NA,NA
1,NA,NA,12,14,50.6500015258789,NA,NA,NA,NA,NA,NA
1,NA,NA,8,9,62.0099983215332,NA,NA,NA,NA,NA,NA
0,NA,NA,12,16,24.2999992370605,NA,NA,NA,NA,NA,NA
1,NA,NA,10,22,57.0400009155273,NA,NA,NA,NA,NA,NA
1,12,11,9,10,42.689998626709,66.4899978637695,69.3899993896484,NA,NA,"lby4z","vx983"
0,NA,NA,31,48,48.3699989318848,NA,NA,NA,NA,NA,NA
0,10,10,14,20,33.6500015258789,63.7099990844727,69.1999969482422,NA,NA,"ycex5","y2ubw"
0,NA,NA,9,0,75.2900009155273,NA,NA,NA,NA,NA,NA
0,NA,NA,4,6,54.0400009155273,NA,NA,NA,NA,NA,NA
1,5,5,8,12,34.3300018310547,63.2599983215332,63.1100006103516,NA,NA,"uwfwl","pxm4l"
1,NA,NA,12,22,77.379997253418,NA,NA,NA,NA,NA,NA
1,11,7,12,15,29.3600006103516,66.9000015258789,63.7999992370605,60,NA,"lnv2v","bti2x"
1,NA,NA,8,11,83.9899978637695,NA,NA,NA,NA,NA,NA
0,NA,NA,5,11,68.9899978637695,NA,NA,NA,NA,NA,NA
0,NA,NA,4,5,80.2399978637695,NA,NA,NA,NA,NA,NA
