"id","sex","age","rs","fid","agef","daddiff","rsf","mid","agem","mumdiff","rsm"
"tte3g","f",20.3972606658936,0,"uvilo",51,30.6027393341064,9,"hi1mx",59.6958885192871,39.2986297607422,8
"rlgmu","m",76.7068481445312,7,NA,NA,NA,NA,NA,NA,NA,NA
"ps8z2","f",49.5013694763184,5,NA,NA,NA,NA,NA,NA,NA,NA
"w3lvf","f",37.6794509887695,0,NA,NA,NA,NA,NA,NA,NA,NA
"pc98c","m",17.312328338623,0,"k06nr",65.6438369750977,48.3315086364746,4,"fvwln",48.687671661377,31.3753433227539,4
"v6p2j","f",20.8849315643311,1.63999998569489,"t43ku",57.6931495666504,36.808219909668,8,"bdh3u",51.9945220947266,31.1095886230469,8
"vwl18","f",20.668493270874,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bggm0","f",18.8356170654297,0,NA,NA,NA,NA,"u9jxm",37.1150703430176,18.2794513702393,2
"fi3gx","f",37.7643852233887,6.28000020980835,"kfow7",NA,NA,NA,"bb315",74.7808227539062,37.0164375305176,4
"tedc2","f",20.6273975372314,1.63999998569489,NA,NA,NA,NA,NA,NA,NA,NA
"gx4lh","f",27.6739730834961,2,NA,NA,NA,NA,"yy82i",53.2999992370605,25.6260280609131,8
"tcbpq","f",64.6986312866211,3,NA,NA,NA,NA,NA,NA,NA,NA
"hy0fe","f",18.668493270874,0.819999992847443,NA,NA,NA,NA,NA,NA,NA,NA
"metjs","f",61.7424659729004,6,NA,NA,NA,NA,NA,NA,NA,NA
"mskoe","m",30.6767120361328,3.46000003814697,"xwtvk",61.6958885192871,31.0191783905029,8,"pherb",58.6958885192871,28.0191783905029,8
"fkj79","m",46.7780838012695,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tskfv","f",27.8876705169678,2.8199999332428,"oeqhm",NA,NA,NA,"blo4c",48.687671661377,20.7999992370605,4
"w4vaf","m",33.6767120361328,0.819999992847443,"zwswt",58.6958885192871,25.0191783905029,7,"zqdls",44.0301361083984,10.3534250259399,2
"ipeza","f",29.76438331604,1,NA,NA,NA,NA,NA,NA,NA,NA
"sjl59","m",43.9013710021973,4,"sk2w0",71.7041091918945,27.8027400970459,4,"lk16z",68.7013702392578,24.7999992370605,4
"dt3ij","m",31.6767120361328,0.819999992847443,"v871y",52.6904106140137,21.0136985778809,6,"vwcfb",51.6904106140137,20.0136985778809,6
"cflbq","m",31.6767120361328,1,"rmd4v",55.6931495666504,24.0164375305176,9,"hkiut",53.6904106140137,22.0136985778809,9
"o7nr5","f",49.687671661377,5,"mzbyj",77.0904083251953,27.4027404785156,5,"vkl7d",78.7315063476562,29.0438346862793,5
"hyydu","f",35.024658203125,3,"ssn5h",68.1095886230469,33.0849304199219,11,"edth4",51.0356178283691,16.0109596252441,8
"a5pcr","f",26.76438331604,3.64000010490417,"tghm0",44,17.23561668396,2,"kz8kb",54.6931495666504,27.9287662506104,6
"c4nc0","f",38.6849327087402,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dct6z","f",19.3397254943848,0,NA,NA,NA,NA,"rs43l",43.6849327087402,24.3452053070068,6
"hiuzm","f",54.6931495666504,9,NA,NA,NA,NA,NA,NA,NA,NA
"jrx6t","f",41.6821899414062,2,"tcjf4",65.6986312866211,24.0164375305176,5,"j1ux0",59.6958885192871,18.0136985778809,5
"bec61","f",22.6821918487549,0.819999992847443,NA,NA,NA,NA,NA,NA,NA,NA
"tcx1s","f",22.6712322235107,2.64000010490417,NA,NA,NA,NA,NA,NA,NA,NA
"slxak","m",29.6739730834961,2.64000010490417,"zdti6",59.6958885192871,30.0219173431396,6,"d38mz",56.6931495666504,27.0191783905029,6
"zkz83","m",17.3643836975098,0,"xfptf",58.6958885192871,41.3315086364746,5,"b755g",57.6931495666504,40.3287658691406,5
"uarjz","m",62.6986312866211,NA,"pm3cj",88.7013702392578,26.0027389526367,5,"dy5rn",70.04931640625,7.35068511962891,4
"oz4we","f",22.0027389526367,0.819999992847443,"uiq3n",48.687671661377,26.6849308013916,8,"dsdm3",40.6821899414062,18.6794528961182,5
"xh090","m",22.6712322235107,0,"b72qp",61.6958885192871,39.024658203125,5,"o7nr5",49.687671661377,27.0164375305176,5
"fapo3","m",37.5589027404785,NA,NA,NA,NA,NA,NA,NA,NA,NA
