"id","sex","age","weight","mid","agem","weightm","fid","agef","weightf"
"pob8s",0,NA,NA,"sq4x2",56.0750007629395,47.8486328125,"ns94o",51.2666664123535,52.024242401123
"l28pw",1,35.4500007629395,66.5590896606445,"t6qso",NA,NA,"y69kv",NA,NA
"lyyxl",0,31.7666664123535,56.0818176269531,"inehi",49.2874984741211,46.5704536437988,"w1w5n",NA,NA
"kyf6w",1,34.4000015258789,66.2434997558594,"bbmxd",NA,NA,"f0ub9",NA,NA
"sv7gc",1,29.8333339691162,69.0666656494141,"z468m",NA,NA,"tx3p1",NA,NA
"t9m9w",1,32.0777778625488,65.106819152832,"f9x2p",NA,NA,"ab96c",NA,NA
"h7ppx",1,46,67,"sqz3r",68.8499984741211,51.1659088134766,"ajfh2",NA,NA
"pqp7m",0,38.1749992370605,54.2781944274902,"ehzjo",NA,NA,"gdntt",60.5466651916504,60.5726737976074
"tly6a",0,NA,NA,"e6kgp",NA,NA,"tv617",49.6699981689453,58.7645454406738
"m1ll0",0,32.5999984741211,69.3818740844727,"ft5lq",NA,NA,"iu3vx",NA,NA
"gww50",1,NA,NA,"j83qu",NA,NA,"iu3vx",NA,NA
"vuzxv",1,25.6166667938232,62.9418182373047,"xzvd4",NA,NA,"jauaw",63.7666664123535,62.533332824707
"j2dhg",1,NA,NA,"p98ei",NA,NA,"pn4so",NA,NA
"xx0al",1,NA,NA,"t7pys",54.3666648864746,47.6688461303711,"ihzng",NA,NA
"pascs",0,25.1272735595703,54.1950416564941,"ivlhx",NA,NA,"hpkwa",NA,NA
"xon3y",0,31.0555553436279,59.7898979187012,"vvuur",53.3545455932617,55.9476890563965,"yoylr",NA,NA
"vl8ch",0,37.2000007629395,60.9090919494629,"fk62t",NA,NA,"nslxn",NA,NA
"kdib8",1,NA,NA,"g40o2",NA,NA,"jab4i",68.2200012207031,50.5563621520996
"x8n8g",1,NA,NA,"ic6ip",NA,NA,"l62gg",52.6500015258789,59.064079284668
"s9ihx",1,31.0454540252686,62.7307281494141,"bvxx1",51.4599990844727,43.8427276611328,"r8sat",NA,NA
"hchnx",0,21.8999996185303,48.2000007629395,"ef1cp",NA,NA,"mfg36",NA,NA
"cu9bt",1,21.6000003814697,54.533332824707,"c77oi",NA,NA,"dex7o",67.7399978637695,54.3199996948242
"j1ouz",1,35.1500015258789,44.0909080505371,"q9ja5",NA,NA,"c3ztr",NA,NA
"tuzxm",1,NA,NA,"ptu8x",NA,NA,"xhcgx",NA,NA
"dgxiz",1,28.1142864227295,58.1571426391602,"rg8zg",45.4166679382324,54.6530303955078,"f1k25",48.658332824707,59.5075759887695
"zif1e",1,35.906665802002,54.3184280395508,"dum4r",NA,NA,"nvtii",57.1238098144531,58.7577514648438
"l49y2",0,31.7749996185303,52.8787879943848,"mlf0j",NA,NA,"p63wa",NA,NA
"x8jgg",1,33.0499992370605,53.2010383605957,"t7e71",NA,NA,"i1ogn",NA,NA
"ljlxm",1,28.1749992370605,63.1484832763672,"ys4es",NA,NA,"rsh3b",NA,NA
"lafvr",1,28.1599998474121,64.5963668823242,"ivlhx",NA,NA,"hpkwa",NA,NA
"youvf",0,28.1909084320068,55.3133697509766,"gf3f5",NA,NA,"e2o8e",49.2999992370605,59.2272720336914
"jflag",1,NA,NA,"z468m",NA,NA,"tx3p1",NA,NA
"uu2pb",1,NA,NA,"anyic",NA,NA,"i9p6g",NA,NA
"wmv9s",1,23.7399997711182,62.2936363220215,"sq4x2",56.0750007629395,47.8486328125,"a9883",62.5999984741211,53.9984855651855
"lsvri",0,23.7999992370605,66.5999984741211,"inehi",49.2874984741211,46.5704536437988,"p4i4d",53.0416679382324,66.0129547119141
"x3hkt",0,32.7874984741211,64.8139038085938,"v298i",NA,NA,"b7ofy",NA,NA
"u929d",0,29.7199993133545,61.4654541015625,"dl1xr",NA,NA,"uii24",NA,NA
"cm0b8",1,26.8299999237061,59.0836372375488,"zmjdd",NA,NA,"gdntt",60.5466651916504,60.5726737976074
"yxj5k",1,NA,NA,"j83qu",NA,NA,"ibt3x",NA,NA
"xjxmh",1,30.1000003814697,62.7272720336914,"e1tee",NA,NA,"z4lm0",NA,NA
"essn2",0,NA,NA,"ef1cp",NA,NA,"mfg36",NA,NA
"vqci6",1,29.380952835083,57.0488471984863,"fuycm",NA,NA,"smp05",44.2000007629395,55.5
"zjh30",0,30.1000003814697,66.363639831543,"rq3ju",NA,NA,"q2byp",NA,NA
