"male","age","RS","agef","RSf","RSma","RSmidpointf","fid"
0,69,6,NA,NA,NA,NA,NA
1,80,14,NA,NA,NA,NA,NA
1,45,10,83,14,9.85999965667725,8.5,250
0,34,5,84,41,4.84000015258789,25,144
1,87,21,NA,NA,NA,NA,NA
0,41,5,NA,NA,NA,NA,NA
1,39,2,71,24,1.67999994754791,16,267
1,41,9,79,20,6.67999982833862,13.5,114
0,33,6,74,13,5.67999982833862,8.5,378
0,54,4,NA,NA,NA,NA,NA
0,42,9,NA,NA,NA,NA,NA
0,75,5,NA,NA,NA,NA,NA
0,31,8,NA,NA,NA,NA,NA
1,32,4,68,26,3.83999991416931,18,292
1,66,24,NA,NA,NA,NA,NA
0,53,4,NA,NA,NA,NA,NA
1,33,3,78,16,2.51999998092651,10.5,473
1,38,14,68,26,13.2200002670288,15.5,292
1,73,12,NA,NA,NA,NA,NA
0,50,5,79,20,5,13.5,114
0,21,NA,66,10,NA,NA,198
1,74,13,NA,NA,NA,NA,NA
1,31,24,73,12,19.7399997711182,8.5,212
0,50,8,85,21,8,14,331
0,81,6,NA,NA,NA,NA,NA
0,37,4,85,21,3.6800000667572,14.5,331
0,35,5,75,17,5,12.5,151
1,77,14,NA,NA,NA,NA,NA
0,42,4,83,14,4,10.5,250
1,85,32,NA,NA,NA,NA,NA
1,49,6,74,13,5.84000015258789,8.5,378
1,32,6,73,22,5.51999998092651,15,770
1,61,21,84,41,21.3799991607666,24.5,144
1,47,12,85,32,11.8400001525879,20,432
1,33,6,90,23,5.51999998092651,15.5,155
0,23,NA,78,16,NA,NA,473
1,23,NA,87,21,NA,NA,112
1,21,NA,73,22,NA,NA,770
0,45,NA,93,25,NA,NA,298
0,18,NA,90,23,NA,NA,155
0,36,NA,84,41,NA,NA,144
0,42,6,75,17,5.84000015258789,11.5,151
1,38,10,85,21,9.68000030517578,14,331
0,58,6,85,32,6,19.5,432
1,42,7,76,9,6.51999998092651,6,222
0,39,4,66,10,4,7.5,198
1,45,4,NA,NA,NA,NA,NA
0,21,NA,71,24,NA,NA,267
1,58,13,84,41,13,24.5,144
1,39,5,85,32,4.67999982833862,20.5,432
1,38,7,NA,NA,NA,NA,NA
1,42,8,85,32,7.84000015258789,20,432
1,30,4,NA,NA,NA,NA,NA
1,34,4,84,24,3.6800000667572,16,134
1,55,7,90,31,7,21,762
0,44,8,73,11,7.67999982833862,8,921
0,30,NA,79,23,NA,NA,444
0,40,7,93,25,6,16,298
0,53,NA,84,41,NA,NA,144
1,60,10,NA,NA,NA,NA,NA
1,56,5,93,25,4.67999982833862,15,298
1,34,4,90,31,3.51999998092651,19.5,762
1,53,14,NA,NA,NA,NA,NA
1,63,25,NA,NA,NA,NA,NA
0,35,NA,79,20,NA,NA,114
1,44,9,NA,NA,NA,NA,NA
1,32,4,71,24,3.6800000667572,16,267
0,42,NA,73,22,NA,NA,770
0,46,5,75,17,5,12.5,151
1,78,31,NA,NA,NA,NA,NA
0,36,7,71,24,6.84000015258789,16,267
0,39,NA,80,14,NA,NA,424
0,36,7,NA,NA,NA,NA,NA
0,46,8,79,23,7.84000015258789,14.5,444
0,27,NA,90,31,NA,NA,762
0,44,8,85,32,7.84000015258789,20,432
0,63,11,93,25,11,15,298
