"age","agem","rs","rsm","mid"
70,93,NA,5,"bjk5b"
29,55,1.97000002861023,7,"rnqvr"
46,70,NA,3,"uw2vp"
60,44,NA,5,"m36tj"
22,50,NA,10,"j03tu"
24,60,NA,11,"g5hox"
35,68,NA,7,"v0e5z"
50,40,8,6,"bp626"
19,50,NA,12,"duv1t"
60,92,NA,10,"f4es3"
35,33,0.970000028610229,4,"ec5zn"
37,60,NA,4,"l17yh"
27,50,NA,9,"heaar"
21,47,1.94000005722046,9,"tfh3n"
30,53,NA,6,"rasw8"
38,60,5,7,"xvkng"
25,60,0.970000028610229,6,"ygz1a"
27,35,3.94000005722046,5,"b7ygz"
44,65,6.96999979019165,6,"ek842"
42,75,NA,8,"yeyg9"
22,48,NA,3,"rsev1"
22,48,0.970000028610229,2,"nqk4l"
22,68,3.91000008583069,7,"eelt2"
20,60,NA,6,"p4m6o"
45,95,5.96999979019165,3,"tnsug"
29,60,NA,9,"wfeiv"
22,71,NA,9,"zetyc"
70,68,4,2,"q15v7"
19,47,NA,4,"yy23t"
38,70,NA,3,"g2xew"
22,48,1.94000005722046,7,"t1sfm"
32,56,5.94000005722046,2,"dmijx"
39,60,3.91000008583069,4,"o8es2"
37,65,4.96999979019165,5,"ng3vk"
38,70,NA,4,"ukbym"
30,68,0.970000028610229,6,"gyq2m"
40,70,NA,7,"mi70s"
13,45,NA,7,"fncco"
65,69,7,3,"m8dws"
70,30,8,1,"i2kho"
30,60,NA,7,"fjl58"
42,80,3.97000002861023,4,"lfsgb"
17,55,NA,10,"vuet1"
44,48,NA,6,"unvd7"
21,61,0.970000028610229,6,"tjycz"
35,60,3,4,"wtptz"
63,80,4,6,"owp8o"
25,50,NA,9,"v06qq"
27,60,NA,11,"paxqy"
26,59,1.94000005722046,8,"kacff"
33,50,5.94000005722046,2,"tfnza"
16,60,NA,7,"e7dlg"
61,60,NA,2,"x9cpj"
23,47,1.97000002861023,5,"iklhl"
46,62,NA,9,"wxzo3"
23,42,1.94000005722046,3,"emu5y"
34,70,NA,6,"tkdoz"
28,53,1,2,"rd2pn"
56,52,3,3,"oj7tf"
35,65,NA,3,"x7ku6"
20,60,0.970000028610229,6,"qosww"
25,50,2.94000005722046,9,"dqhss"
39,66,7.96999979019165,6,"lc5n8"
50,36,NA,5,"jbocc"
25,50,1.94000005722046,3,"ejv12"
20,44,NA,4,"f83gf"
15,38,NA,9,"uypcu"
40,33,6.94000005722046,4,"ec5zn"
65,60,4,2,"f32k4"
40,80,6.94000005722046,5,"vupk7"
49,70,2,3,"d5oo5"
50,60,NA,5,"uww01"
50,70,7,3,"h11xq"
25,38,2.94000005722046,4,"wf2jg"
11,48,NA,11,"tuw9c"
27,62,3.91000008583069,12,"sxfsh"
61,75,4,4,"an5ey"
36,66,4.96999979019165,11,"a0n7r"
15,43,NA,7,"vblxz"
18,50,0.970000028610229,12,"duv1t"
33,61,0.970000028610229,5,"kb3n8"
40,50,NA,4,"vqh59"
28,59,3.94000005722046,9,"kacff"
28,40,NA,4,"k6c4r"
35,52,4.94000005722046,10,"xh9di"
33,55,2.97000002861023,8,"wd0fu"
22,42,2.94000005722046,7,"ren9z"
36,66,NA,6,"lc5n8"
35,53,NA,7,"qjexn"
