"age","agem","rs","rsm","mid"
30,50,3.97000002861023,5,"enwkz"
38,55,NA,10,"ngtae"
21,48,NA,10,"ntavw"
52,85,12,8,"oyq56"
25,40,2.97000002861023,4,"by9xq"
26,50,0.970000028610229,4,"vqh59"
36,54,NA,6,"eui6x"
37,58,NA,5,"u2q34"
48,92,10,10,"f4es3"
50,70,4,5,"q2hw8"
21,50,1.94000005722046,9,"dqhss"
14,54,NA,5,"bxfte"
43,67,NA,6,"xklbs"
45,25,NA,2,"cysju"
20,44,0.970000028610229,6,"amln4"
30,60,6.90999984741211,8,"m7v35"
28,48,NA,2,"nqk4l"
31,70,NA,4,"upwcd"
50,80,4,3,"aspag"
20,40,NA,6,"mxz5k"
70,40,6,3,"zee2r"
19,46,0.970000028610229,6,"sbmqg"
25,40,2.94000005722046,6,"a3bht"
13,40,NA,6,"ve49r"
40,70,NA,7,"ftbpj"
23,63,NA,12,"ryo04"
35,60,NA,6,"aqplk"
15,42,NA,7,"ren9z"
23,50,1.94000005722046,11,"vry4e"
28,52,4.94000005722046,3,"k484v"
31,60,NA,9,"pjgsp"
24,49,NA,7,"wtf5q"
27,58,NA,7,"qs1uh"
40,50,4,4,"mzm53"
