"age","male","livestock","agef","livestockf","fid"
31,0,8,87,60,112
13,1,NA,68,125,292
55,1,10,83,20,250
55,1,30,93,70,298
32,0,12,73,95,212
39,0,10,73,10,921
39,0,10,90,12,155
46,1,8,71,35,267
59,1,1,85,110,432
78,1,45,NA,NA,NA
32,1,10,66,40,198
46,1,1,73,10,921
63,1,54,NA,NA,NA
41,1,14,73,95,212
34,0,10,75,100,151
26,0,NA,77,35,332
54,1,13,84,70,134
59,0,8,NA,NA,NA
20,0,NA,68,125,292
53,1,3,77,35,332
15,0,NA,68,125,292
49,1,1,74,30,378
28,0,NA,79,30,114
44,0,10,85,110,432
13,0,NA,90,110,762
41,1,4,71,35,267
80,1,60,NA,NA,NA
30,0,NA,79,20,444
27,0,NA,79,20,444
38,1,8,NA,NA,NA
60,1,11,93,70,298
66,1,65,NA,NA,NA
45,0,10,78,45,473
35,0,4,68,125,292
34,1,7,NA,NA,NA
35,1,6,66,40,198
39,0,NA,77,35,332
45,1,15,80,60,424
34,1,4,84,70,134
45,1,12,NA,NA,NA
74,0,5,NA,NA,NA
40,1,9,74,30,378
33,1,10,68,125,292
41,1,1,90,12,155
15,0,NA,84,70,134
39,0,NA,93,70,298
86,0,1,NA,NA,NA
55,1,12,90,110,762
40,1,7,74,30,378
35,0,NA,79,30,114
45,1,11,90,110,762
