"fert","fertf","age","agef","s_dec_death","fid"
0,3,36.2999992370605,66.9000015258789,1820,"zukh3"
3,3,45.9000015258789,63.4000015258789,1630,"p10iw"
0,7,56.2000007629395,72.4000015258789,1690,"trcld"
NA,6,NA,63.4000015258789,1670,"hxdsd"
0,2,49.9000015258789,63.4000015258789,1690,"ez9up"
0,5,41.9000015258789,69.1999969482422,1690,"i8rtc"
0,6,41.2999992370605,63.4000015258789,1670,"hxdsd"
6,6,66.6999969482422,67.1999969482422,1760,"p31z2"
7,8,52.5,63.9000015258789,1580,"mc2ko"
1,4,43.7000007629395,39.0999984741211,1660,"wrqe7"
3,3,40.7000007629395,50.4000015258789,1570,"ivdi9"
0,4,34.7000007629395,62.2999992370605,1770,"ilwq3"
1,4,61,61.5,1630,"qzvdj"
10,7,72.5999984741211,50.2999992370605,1590,"oxzw3"
0,2,51.9000015258789,69.3000030517578,1700,"xye0e"
9,6,49.9000015258789,56.2999992370605,1660,"qmfw5"
0,NA,42.4000015258789,NA,1710,"mvb75"
1,4,33.0999984741211,67.5,1670,"mstmf"
NA,4,NA,NA,1740,"phu81"
NA,6,54.5999984741211,NA,1820,"mrl7z"
4,2,43.2000007629395,67.3000030517578,1680,"lc2v7"
4,5,66.6999969482422,61.7999992370605,1650,"r6srk"
4,5,71.6999969482422,80.9000015258789,1630,"q25ev"
4,5,41.7999992370605,58.2000007629395,1620,"bqn5s"
6,3,61,33,1730,"ainya"
0,2,43.5,61.2000007629395,1750,"pfa9g"
6,5,67.1999969482422,55.2999992370605,1730,"zjzcn"
0,4,45.7999992370605,NA,1840,"m5jvh"
3,3,41.7000007629395,42.4000015258789,1630,"ouoww"
1,4,66.5999984741211,69.5999984741211,1710,"a6mfc"
3,NA,63.2000007629395,NA,1720,"umriq"
0,7,42.5,55.5999984741211,1720,"jqo3j"
0,5,50.2000007629395,82.5,1720,"rym9b"
0,3,42,76,1700,"yfgsa"
6,8,42.9000015258789,64.4000015258789,1630,"p9zsd"
