"fid","mid","kcal","kcalm","kcalf","sex","age","agem","agef"
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"ykdb5","ebdon",NA,NA,NA,1,NA,59,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"btcas","gy4cz",NA,NA,NA,1,NA,66,80
"e19do","izb7u",NA,NA,NA,1,NA,41,45
"vc7kn","nt1nz",NA,4137.11083984375,NA,2,NA,32,46
NA,NA,NA,NA,NA,NA,NA,NA,NA
"j01g0","lsv5z",87.0129699707031,NA,NA,1,22.5,NA,50
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1533.88696289062,NA,NA,NA,20,NA,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"j91uj",NA,NA,NA,1,NA,NA,NA
NA,"d8g69",NA,NA,NA,2,NA,22,NA
"l4048","rj01x",NA,NA,NA,1,NA,30.5,48
NA,NA,NA,NA,NA,NA,NA,NA,NA
"ynuzi","tgbx9",NA,4231.89990234375,409.446563720703,1,NA,28.5599994659424,28.5
"idzrg","e0pgq",NA,NA,NA,NA,NA,62,NA
"o88r4","llkxf",NA,NA,NA,1,NA,71,56
NA,NA,NA,NA,NA,NA,NA,NA,NA
"z1sl6","bxyv1",NA,2699.24951171875,6457.23974609375,2,NA,19,27
NA,NA,NA,NA,NA,NA,NA,NA,NA
"ks0ic","hetk3",NA,NA,NA,2,NA,NA,68
"nnu2w","jei53",NA,NA,NA,2,NA,NA,22.3500003814697
NA,NA,NA,NA,NA,1,NA,NA,NA
"j9n1j",NA,NA,NA,4565.9912109375,1,NA,NA,57
NA,NA,2700.48120117188,NA,NA,NA,26,NA,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
"pz5xe","v1rzm",87.2368392944336,2434.17529296875,NA,2,16,47,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
"sjn7t","ltvlp",NA,NA,NA,1,NA,NA,NA
"dvb3a","iax7l",NA,NA,NA,2,NA,47,56
"d1n7j","gwgea",NA,87.2368392944336,NA,1,NA,17,24
"vc7kn","nt1nz",NA,4137.11083984375,NA,1,NA,32,46
NA,"mlnzn",NA,NA,NA,2,NA,66,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"z7vdx","lvhzm",NA,NA,NA,1,NA,NA,NA
"xuwsm","z0fx1",NA,369.50537109375,5289.39501953125,2,NA,21.5,28
NA,NA,NA,NA,NA,NA,NA,NA,NA
"l4048","y3fem",NA,NA,NA,1,NA,39,48
"l4048","rj01x",NA,NA,NA,1,NA,30.5,48
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,"gwgmc",NA,NA,NA,1,NA,18,NA
"pqbdh","nv9zo",4127.46533203125,NA,NA,1,49,67,76
NA,"a5cna",NA,NA,NA,1,NA,NA,NA
"i5ae4","ukb39",NA,NA,NA,2,NA,26,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
"qzvl3","oyp2e",0,1524.525390625,105.834754943848,2,0.5,35,36
"oknn7","k9t8q",NA,4199.25732421875,3571.26733398438,1,NA,31,36
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"gosdf",NA,4135.33447265625,NA,2,NA,64,NA
"tekry","us5tu",NA,NA,NA,1,NA,NA,68
NA,NA,NA,NA,NA,1,NA,NA,NA
"h05sr","mge1d",NA,NA,NA,2,NA,17,21.5
"tm63m","xj2wk",NA,1611.26574707031,NA,1,NA,59,66
"l4048","rj01x",NA,NA,NA,1,NA,30.5,48
"ykdb5","ebdon",NA,NA,NA,1,NA,59,NA
"un2am","lplfz",NA,2129.28271484375,4408.14501953125,1,NA,24,37
NA,NA,0,NA,NA,NA,1,NA,NA
"lme5a",NA,NA,NA,NA,2,NA,NA,NA
NA,NA,4053.25048828125,NA,NA,NA,56,NA,NA
"q6ali","ujwp5",NA,478.279083251953,NA,2,NA,14.5,11.6800003051758
"l4048","rj01x",NA,NA,NA,1,NA,30.5,48
NA,"tbin6",NA,NA,NA,2,NA,24,NA
NA,"fd5pb",NA,1807.73425292969,NA,1,NA,58,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
"eb6yg","ind65",NA,NA,NA,2,NA,NA,78
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"j9n1j",NA,NA,NA,4565.9912109375,1,NA,NA,57
NA,"cu3zf",NA,NA,NA,1,NA,78,NA
"un2am","lplfz",NA,2129.28271484375,4408.14501953125,2,NA,24,37
"jznfw","ldkvs",NA,NA,NA,1,NA,35,41
NA,NA,NA,NA,NA,2,NA,NA,NA
"jt8pn","pdm6o",NA,NA,NA,2,NA,51,NA
"yelcr","nufgb",NA,NA,NA,1,NA,58,63
"crglo",NA,NA,NA,NA,1,NA,NA,27.5
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
"u8no5","tu81t",NA,NA,NA,1,NA,NA,NA
NA,"gzcpj",NA,NA,NA,2,NA,25,NA
"e19do","izb7u",NA,NA,NA,2,NA,41,45
NA,NA,NA,NA,NA,NA,NA,NA,NA
"l0vbb",NA,990.088684082031,NA,NA,1,32,NA,61
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"r9nni","rvmrf",NA,NA,NA,1,NA,40,NA
"v4fuu","elydz",NA,NA,NA,1,NA,NA,71
"fa4wl","psauo",NA,NA,NA,2,NA,34,41
NA,NA,NA,NA,NA,NA,NA,NA,NA
"l4048","rj01x",NA,NA,NA,1,NA,30.5,48
NA,"dbw1z",NA,NA,NA,1,NA,50,NA
"cz42b","pqerq",NA,4949.20556640625,2606.29223632812,2,NA,25,25
"yiurd","bk2ju",NA,NA,NA,1,NA,40,53
"tekry","llssn",NA,NA,NA,1,NA,61,68
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,"otats",NA,NA,NA,1,NA,33.5,NA
"nc3w9","pkuih",NA,NA,NA,1,NA,34,4
"b4l5e","s9fgj",NA,NA,NA,1,NA,NA,55
"xpo51","vvemo",6457.23974609375,2296.67236328125,31.766918182373,1,26,54,53
NA,NA,NA,NA,NA,1,NA,NA,NA
"un2am","lplfz",NA,2129.28271484375,4408.14501953125,1,NA,24,37
"xpo51","oenx4",NA,3964.9541015625,31.766918182373,2,NA,38,53
"tn8hw","cij44",NA,NA,NA,2,NA,34,32.5
"g9zkx","gs7nz",NA,NA,NA,1,NA,26,19.3500003814697
NA,"bn7w0",NA,NA,NA,2,NA,47,NA
NA,"xoyrl",NA,NA,NA,1,NA,27.5,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,"ijl0v",NA,NA,NA,1,NA,NA,NA
"e19do","izb7u",NA,NA,NA,2,NA,41,45
NA,NA,NA,NA,NA,NA,NA,NA,NA
"fc5bg",NA,NA,NA,NA,2,NA,NA,NA
"o284l","pzxei",NA,61.3888893127441,NA,2,NA,38,41
NA,NA,NA,NA,NA,NA,NA,NA,NA
"bhciu","falcw",NA,NA,NA,2,NA,63.5,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
"epu2p","wdt18",NA,NA,NA,2,NA,20.5,17.5
NA,"nv9zo",NA,NA,NA,2,NA,67,NA
"q6ali","ujwp5",NA,478.279083251953,NA,2,NA,14.5,11.6800003051758
"nnfo6","z75u9",NA,NA,NA,2,NA,-1,45
"y7018","pg57e",NA,1042.96643066406,NA,1,NA,37,49
"ej4od",NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"n1oih","rgwlr",NA,NA,NA,2,NA,NA,44
NA,NA,1614.49462890625,NA,NA,NA,41,NA,NA
"aenht","zhzqy",0,2481.63989257812,7886.14990234375,1,2.5,49,56
NA,NA,106.981330871582,NA,NA,NA,4,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"bhciu","falcw",NA,NA,NA,2,NA,63.5,NA
"wpl3e","th4de",1459.77783203125,NA,NA,2,26,42,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"vc7kn","nt1nz",NA,4137.11083984375,NA,2,NA,32,46
NA,NA,4451.2587890625,NA,NA,NA,43,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"bxhhq","ip3cb",NA,NA,NA,1,NA,36,40.5
"m3kvw","v22jc",NA,1344.92224121094,4053.10546875,1,NA,44,51.75
"l4048","rj01x",NA,NA,NA,2,NA,30.5,48
NA,NA,NA,NA,NA,2,NA,NA,NA
"v4fuu","elydz",NA,NA,NA,1,NA,NA,71
"bhciu","erjmn",NA,NA,NA,2,NA,34,NA
"ligpw","fqdbd",NA,1838.9453125,841.377319335938,1,NA,34,37
"gu77c","z7ai2",NA,NA,NA,2,NA,NA,NA
"n7uqz","otats",NA,NA,NA,1,NA,33.5,45
NA,NA,NA,NA,NA,NA,NA,NA,NA
"ngc5k","j466d",NA,NA,NA,2,NA,52,51
NA,NA,NA,NA,NA,2,NA,NA,NA
"crglo",NA,NA,NA,NA,1,NA,NA,27.5
"elxlc","s21qk",NA,NA,NA,2,NA,84,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
"uts70","ddwoq",NA,2706.81665039062,NA,1,NA,66,66
"vc7kn","nt1nz",NA,4137.11083984375,NA,1,NA,32,46
"y0jlb","ak0mn",NA,NA,NA,1,NA,42,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"iaf0x","zzetw",NA,3161.51879882812,2981.56762695312,2,NA,44,48
"tr1s3","zj5sw",NA,NA,NA,2,NA,56,62
"nggt4","k7f1n",NA,NA,8016.15966796875,2,NA,32,39
"dlhz5","k7f1n",NA,NA,NA,1,NA,32,32
"arc3c","qmn6a",NA,722.73095703125,4324.80712890625,1,NA,21.5,23.5
"xpo51","rsnfu",NA,8196.6015625,31.766918182373,2,NA,46,53
NA,NA,NA,NA,NA,NA,NA,NA,NA
"crglo","k7f1n",NA,NA,NA,1,NA,32,27.5
"y7018","pg57e",0,1042.96643066406,NA,1,4.75,37,49
"fa4wl","psauo",NA,NA,NA,2,NA,34,41
"g62pf","pbe5y",NA,NA,NA,1,NA,34,41
NA,NA,NA,NA,NA,NA,NA,NA,NA
"ynuzi","tgbx9",NA,4231.89990234375,409.446563720703,1,NA,28.5599994659424,28.5
"nvgt8","ry7vc",NA,NA,NA,2,NA,78,86
"wcfgk","cz010",NA,2808.53588867188,4127.46533203125,2,NA,46,49
"kz2g3","ye577",NA,NA,NA,2,NA,33,41
NA,NA,NA,NA,NA,1,NA,NA,NA
"l4048","rj01x",NA,NA,NA,1,NA,30.5,48
"xp3st","a4x4v",NA,NA,NA,2,NA,NA,NA
"ami7o","ugd0l",NA,NA,NA,1,NA,24,34
"bm6wq","vvemo",NA,2296.67236328125,1470.46484375,2,NA,54,66
"ku5yo","hrd79",NA,NA,NA,1,NA,30,46
NA,"bpgl7",NA,NA,NA,2,NA,56,NA
"yfk7y","p30ez",NA,NA,NA,2,NA,61,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,"zewv3",NA,3295.90502929688,NA,1,NA,16,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
"jznfw","ldkvs",NA,NA,NA,1,NA,35,41
"nyua3","oa30u",NA,1014.07855224609,1282.51550292969,1,NA,32,37
"iom9u","lmwut",NA,NA,NA,1,NA,35,64
"jml6w","dg9z8",NA,NA,NA,1,NA,66,59
NA,NA,NA,NA,NA,1,NA,NA,NA
"tm63m","xj2wk",NA,1611.26574707031,NA,1,NA,59,66
NA,"ri410",NA,NA,NA,1,NA,NA,NA
"nyua3","oa30u",NA,1014.07855224609,1282.51550292969,2,NA,32,37
"nyua3","oa30u",NA,1014.07855224609,1282.51550292969,2,NA,32,37
"kx4f4","mh29l",NA,4378.634765625,NA,2,NA,65,72
NA,NA,NA,NA,NA,NA,NA,NA,NA
"vc7kn","nt1nz",0,4137.11083984375,NA,2,4.17000007629395,32,46
"z2kku","q9sla",NA,NA,NA,1,NA,76,81
NA,"pf49i",NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pv3uc",NA,NA,NA,1,NA,21,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"s64km",NA,NA,NA,2,NA,17,NA
"bus6f","a0kwx",NA,NA,NA,2,NA,12,22
"j9n1j",NA,1282.51550292969,NA,4565.9912109375,1,36,NA,57
NA,NA,NA,NA,NA,1,NA,NA,NA
"ynuzi","tgbx9",NA,4231.89990234375,409.446563720703,2,NA,28.5599994659424,28.5
"r3bet","v789a",NA,NA,NA,2,NA,22.5,34
NA,NA,5212.482421875,NA,NA,NA,1,NA,NA
"nggt4","pzxei",NA,61.3888893127441,8016.15966796875,2,NA,38,39
"opfb9","h8u1g",NA,0,NA,2,NA,76,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
"y7018","pg57e",NA,1042.96643066406,NA,1,NA,37,49
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"jynod",NA,NA,NA,NA,1,NA,NA,29
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"bjw1i",NA,NA,NA,1,NA,23,NA
"ami7o","ugd0l",NA,NA,NA,2,NA,24,34
NA,"jd8a1",NA,NA,NA,2,NA,25,NA
"dt9uv","myjsw",NA,NA,NA,2,NA,23.5,23
NA,NA,NA,NA,NA,NA,NA,NA,NA
"w29y8","d1hcd",NA,NA,NA,1,NA,60,51
"q6ali","nxog4",NA,153.472732543945,NA,1,NA,10,11.6800003051758
"ami7o","ugd0l",NA,NA,NA,1,NA,24,34
"p3f2z","uy9pq",0,1459.77783203125,1113.31994628906,1,0.75,26,28
"h9epm","lmwut",NA,NA,NA,1,NA,35,49
"i5ae4","erjmn",NA,NA,NA,1,NA,34,NA
"l4048","rj01x",NA,NA,NA,2,NA,30.5,48
NA,"k7f1n",NA,NA,NA,2,NA,32,NA
NA,"lxtrd",NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
"fgshf","rq15a",NA,NA,990.088684082031,2,NA,31,32
NA,NA,NA,NA,NA,2,NA,NA,NA
"jznfw","ldkvs",NA,NA,NA,1,NA,35,41
"d1n7j","gwgea",NA,87.2368392944336,NA,1,NA,17,24
NA,"fo60j",NA,NA,NA,1,NA,59,NA
"q5h43","fm4oy",NA,NA,NA,1,NA,NA,68
NA,NA,NA,NA,NA,1,NA,NA,NA
"kz2g3","ye577",101.891891479492,NA,NA,1,10.5200004577637,33,41
"cx2kq","q1dtv",NA,474.976654052734,NA,1,NA,17.0300006866455,18
"egrjp","z857z",775.0888671875,78.2818145751953,NA,2,6.5,50,48.5
"g9zkx","gs7nz",NA,NA,NA,1,NA,26,19.3500003814697
NA,"gwgmc",NA,NA,NA,1,NA,18,NA
NA,"j91uj",NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
"bhciu","erjmn",NA,NA,NA,2,NA,34,NA
"hibtb","o58eh",NA,NA,NA,1,NA,68,NA
"sytcn","ewoy2",NA,NA,NA,2,NA,NA,41
NA,NA,0,NA,NA,NA,1.5,NA,NA
"y7018","n8gmk",NA,NA,NA,2,NA,43,49
"h05sr","mge1d",NA,NA,NA,1,NA,17,21.5
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"dlcpj",NA,NA,NA,1,NA,35,NA
NA,"mlnzn",NA,NA,NA,1,NA,66,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"m1hr1","b9vxh",NA,2233.65405273438,NA,2,NA,44.3300018310547,46
"v73iy","nonnr",NA,3656.29858398438,NA,1,NA,62,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"jjdtc","bepky",4394.52685546875,5488.13720703125,2352.0107421875,2,25,57,76
"f03xz","kdf26",1524.525390625,NA,NA,2,34,NA,88
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"dvb3a","iax7l",NA,NA,NA,1,NA,47,56
NA,NA,105.834754943848,NA,NA,NA,35,NA,NA
"arc3c","qmn6a",NA,722.73095703125,4324.80712890625,2,NA,21.5,23.5
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,"k7f1n",NA,NA,NA,2,NA,32,NA
"yiurd","bk2ju",NA,NA,NA,1,NA,40,53
NA,NA,NA,NA,NA,NA,NA,NA,NA
"arc3c","qmn6a",NA,722.73095703125,4324.80712890625,1,NA,21.5,23.5
"tekry","llssn",NA,NA,NA,2,NA,61,68
"b6qtj","vhe99",NA,833.278686523438,NA,2,NA,66,68
"jjdtc","h31ly",NA,NA,2352.0107421875,1,NA,67,76
"ytfm9","f9orm",NA,NA,1325.94177246094,1,NA,13,15
"opfb9","h8u1g",NA,0,NA,2,NA,76,NA
"vc7kn","nt1nz",NA,4137.11083984375,NA,1,NA,32,46
"jciki","zj5sw",NA,NA,NA,1,NA,56,27.5
NA,NA,NA,NA,NA,2,NA,NA,NA
"b9evf","f0ek4",NA,1653.83996582031,1844.02172851562,2,NA,10.5,14
"vc7kn","nt1nz",NA,4137.11083984375,NA,1,NA,32,46
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
"evjer","wcb7x",NA,NA,NA,2,NA,70,NA
"ynuzi","tgbx9",NA,4231.89990234375,409.446563720703,1,NA,28.5599994659424,28.5
"pxbet","d3bjk",NA,NA,NA,1,NA,20,24
"ngc5k","j466d",NA,NA,NA,2,NA,52,51
NA,"rvmrf",NA,NA,NA,2,NA,40,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"s41gq","v67ej",NA,NA,NA,1,NA,34,49
NA,"b3iw8",NA,NA,NA,1,NA,20,NA
"un2am","lplfz",NA,2129.28271484375,4408.14501953125,2,NA,24,37
"otnre","cz010",NA,2808.53588867188,NA,1,NA,46,42
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0,NA,NA,NA,31,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"i0fra","p3mnx",NA,NA,2754.9638671875,2,NA,NA,61
"e1j1e","wilbx",NA,NA,NA,2,NA,21.5,24
"mop1n","lahp7",NA,NA,NA,2,NA,11,34
"hsga4","rvmrf",NA,NA,NA,1,NA,40,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
"yjt37","mmcto",NA,NA,NA,2,NA,61,67
"v73iy","nonnr",3964.9541015625,3656.29858398438,NA,2,38,62,NA
NA,"a1unr",NA,NA,NA,2,NA,61,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"uwjqq",NA,NA,NA,2,NA,83,NA
"dvb3a","iax7l",NA,NA,NA,2,NA,47,56
"elxlc","s21qk",NA,NA,NA,2,NA,84,NA
"xyf3r","ik6si",NA,NA,NA,1,NA,35,36
"bhciu","sdj7f",NA,NA,NA,2,NA,42.5,NA
"t8ozm",NA,NA,NA,NA,1,NA,NA,31
"fgshf","rq15a",NA,NA,990.088684082031,1,NA,31,32
"u1w8q","vdy56",153.472732543945,3242.33276367188,NA,2,9,42,36
"jjdtc","bepky",NA,5488.13720703125,2352.0107421875,2,NA,57,76
NA,NA,NA,NA,NA,NA,NA,NA,NA
"m95ta","n6gsz",NA,NA,NA,2,NA,59,66
"yiurd","bk2ju",NA,NA,NA,1,NA,40,53
"o284l","pzxei",NA,61.3888893127441,NA,1,NA,38,41
"bhciu","sdj7f",NA,NA,NA,2,NA,42.5,NA
"csxsp","p9d69",108.502014160156,NA,NA,2,10,25,33
NA,"v1rzm",NA,2434.17529296875,NA,1,NA,47,NA
NA,"mlnzn",NA,NA,NA,2,NA,66,NA
"kz2g3","ye577",NA,NA,NA,1,NA,33,41
"nc3w9","pkuih",NA,NA,NA,1,NA,34,4
NA,NA,NA,NA,NA,NA,NA,NA,NA
"r3bet","v789a",NA,NA,NA,1,NA,22.5,34
NA,"xa89r",NA,NA,NA,1,NA,55,NA
"v4fuu","n3tbx",NA,NA,NA,1,NA,59,71
"jml6w","b1aai",5289.39501953125,NA,NA,1,27,NA,59
"ffyej",NA,NA,NA,NA,2,NA,NA,25
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
"j01g0","lsv5z",NA,NA,NA,1,NA,NA,50
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
"mdisk","t00u6",NA,NA,NA,1,NA,71,80
"rjqc1","xj2wk",NA,1611.26574707031,2261.6064453125,1,NA,59,56
"uf2oz","ogvt8",NA,NA,NA,1,NA,71,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
"gu77c","z7ai2",NA,NA,NA,2,NA,NA,NA
"qzvl3","oyp2e",NA,1524.525390625,105.834754943848,1,NA,35,36
"dvb3a","iax7l",NA,NA,NA,2,NA,47,56
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,"b96dy",NA,NA,NA,1,NA,15,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"yiurd","bk2ju",NA,NA,NA,1,NA,40,53
NA,"jy5qp",NA,NA,NA,2,NA,35,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,3274.6826171875,NA,NA,NA,33,NA,NA
NA,"otats",NA,NA,NA,1,NA,33.5,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
"rjqc1","xj2wk",NA,1611.26574707031,2261.6064453125,1,NA,59,56
NA,"pat8c",NA,1050.15539550781,NA,1,NA,20,NA
"h05sr","mge1d",NA,NA,NA,1,NA,17,21.5
NA,NA,NA,NA,NA,NA,NA,NA,NA
"hmiqm","mv28x",NA,NA,1217.74340820312,1,NA,NA,61
NA,NA,NA,NA,NA,2,NA,NA,NA
"e19do","izb7u",NA,NA,NA,1,NA,41,45
NA,"b982q",NA,NA,NA,2,NA,NA,NA
"ngc5k","j466d",NA,NA,NA,1,NA,52,51
NA,NA,NA,NA,NA,NA,NA,NA,NA
"rbhzm",NA,NA,NA,NA,2,NA,NA,66
"qw63x","ii1qm",NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"fquo7","ymg7p",5367.0849609375,NA,NA,2,27,51,51
"uts70","ddwoq",1834.91943359375,2706.81665039062,NA,2,31.5,66,66
"qjtri","zacat",NA,NA,NA,1,NA,48,56
"xp3st","a4x4v",NA,NA,NA,2,NA,NA,NA
"jznfw","ldkvs",NA,NA,NA,2,NA,35,41
"o284l","zm9fd",NA,NA,NA,2,NA,19.1000003814697,41
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,"uwhyz",NA,NA,NA,1,NA,66,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"v84tz","ak0mn",NA,NA,NA,2,NA,42,47
"ni94m","mmbnq",NA,NA,NA,2,NA,15,17
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,"m9fq3",NA,NA,NA,1,NA,40,NA
"wiwje","vhe99",3242.33276367188,833.278686523438,NA,2,41,66,71
"epu2p","wdt18",NA,NA,NA,1,NA,20.5,17.5
NA,"dlcpj",NA,NA,NA,1,NA,35,NA
NA,"skuml",NA,NA,NA,1,NA,61,NA
"ami7o","ugd0l",NA,NA,NA,2,NA,24,34
"ovp7g","wqv86",NA,NA,NA,2,NA,NA,13
NA,NA,NA,NA,NA,2,NA,NA,NA
"yiurd","bk2ju",NA,NA,NA,1,NA,40,53
"h05sr","mge1d",NA,NA,NA,1,NA,17,21.5
NA,NA,NA,NA,NA,1,NA,NA,NA
"bhciu","erjmn",NA,NA,NA,2,NA,34,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
"pj9um","f3rxk",NA,NA,NA,2,NA,60,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0,NA,NA,NA,75,NA,NA
"tekry","llssn",NA,NA,NA,1,NA,61,68
"f5nd8","eetx5",78.2818145751953,NA,NA,2,50,NA,NA
"s41gq","v67ej",NA,NA,NA,2,NA,34,49
NA,NA,NA,NA,NA,NA,NA,NA,NA
"p3f2z","uy9pq",NA,1459.77783203125,1113.31994628906,1,NA,26,28
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"s41gq","v67ej",NA,NA,NA,1,NA,34,49
NA,NA,NA,NA,NA,NA,NA,NA,NA
"dvb3a","iax7l",NA,NA,NA,1,NA,47,56
NA,"zj5sw",NA,NA,NA,1,NA,56,NA
"okr08","gg85c",NA,NA,NA,1,NA,13,19.6299991607666
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"jznfw","ldkvs",NA,NA,NA,1,NA,35,41
"ngc5k","j466d",NA,NA,NA,2,NA,52,51
"utsi6","m00gy",NA,3653.23095703125,NA,1,NA,54,NA
NA,"fzrwl",NA,NA,NA,2,NA,91,NA
"pqbdh","nv9zo",NA,NA,NA,1,NA,67,76
"nnu2w","x86yw",NA,3493.11254882812,NA,1,NA,14.5,22.3500003814697
"r3bet","q499a",NA,NA,NA,1,NA,22.5,34
NA,NA,NA,NA,NA,1,NA,NA,NA
"evjer","wcb7x",NA,NA,NA,2,NA,70,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
"jjdtc","h31ly",NA,NA,2352.0107421875,1,NA,67,76
NA,"mlnzn",NA,NA,NA,2,NA,66,NA
"bxhhq","ip3cb",NA,NA,NA,2,NA,36,40.5
NA,NA,NA,NA,NA,NA,NA,NA,NA
"ls2hf","rkxgr",NA,6517.00732421875,NA,2,NA,51,NA
NA,"t00u6",NA,NA,NA,1,NA,71,NA
"nggt4","k7f1n",NA,NA,8016.15966796875,2,NA,32,39
NA,"pq8nf",NA,4394.52685546875,NA,2,NA,26,NA
"zigla","wgfqf",NA,NA,NA,2,NA,39,37
"zzvz0","gpb11",NA,NA,NA,2,NA,28.5,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
"ynuzi","tgbx9",NA,4231.89990234375,409.446563720703,1,NA,28.5599994659424,28.5
NA,"c38r7",NA,NA,NA,2,NA,NA,NA
NA,"zj5sw",NA,NA,NA,1,NA,56,NA
"p0cma","f3rxk",NA,NA,NA,1,NA,60,65
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
"rbhzm","ej9aw",NA,NA,NA,1,NA,61,66
