"fid","mid","kcal","kcalm","kcalf","sex","age","agem","agef"
NA,NA,NA,NA,NA,NA,NA,NA,NA
"ixnih","z857z",NA,78.2818145751953,0,1,NA,50,56
NA,"pf49i",NA,NA,NA,2,NA,NA,NA
"dc668","ifxbn",NA,NA,NA,2,NA,37.5,32
NA,NA,NA,NA,NA,NA,NA,NA,NA
"l4048","rj01x",NA,NA,NA,1,NA,30.5,48
"otnre","cz010",NA,2808.53588867188,NA,1,NA,46,42
"ami7o","ugd0l",NA,NA,NA,1,NA,24,34
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"oy686","jj2yn",NA,NA,NA,2,NA,19.5,22
"l4048","y3fem",NA,NA,NA,1,NA,39,48
"r3bet","v789a",NA,NA,NA,2,NA,22.5,34
NA,"b3iw8",NA,NA,NA,2,NA,20,NA
"jynod",NA,NA,NA,NA,1,NA,NA,29
"yn61w","gn91f",0,NA,NA,1,24,63,62
"ks0ic","a5bxr",NA,NA,NA,2,NA,74,68
"wiwje","vvemo",NA,2296.67236328125,NA,1,NA,54,71
"b8jtt","m00gy",NA,3653.23095703125,3012.837890625,1,NA,54,60.5
"ucjcs","p1x4b",NA,NA,4434.90478515625,1,NA,36,36
NA,"hdrb1",NA,NA,NA,1,NA,27,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"e1j1e","wilbx",NA,NA,NA,1,NA,21.5,24
"gu77c","z7ai2",NA,NA,NA,2,NA,NA,NA
NA,"wnmgs",NA,NA,NA,2,NA,31,NA
"xyf3r","ik6si",NA,NA,NA,2,NA,35,36
"hsga4","rvmrf",NA,NA,NA,1,NA,40,NA
"t8ozm","vi5b3",NA,NA,NA,1,NA,31,31
"xuwsm","z0fx1",NA,369.50537109375,5289.39501953125,1,NA,21.5,28
"bm6wq","vvemo",1014.07855224609,2296.67236328125,1470.46484375,2,31,54,66
"f5nd8","eetx5",NA,NA,NA,2,NA,NA,NA
NA,"wf3wl",NA,NA,NA,2,NA,87,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,"rq15a",NA,NA,NA,1,NA,31,NA
"kpi19","a0ah6",7886.14990234375,NA,NA,1,55,83,86
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"fgshf","rq15a",NA,NA,990.088684082031,2,NA,31,32
"aan8t","kgeze",4137.11083984375,1636.31884765625,NA,2,32,65,NA
NA,"uwhyz",NA,NA,NA,1,NA,66,NA
"bhciu","erjmn",NA,NA,NA,2,NA,34,NA
"y0jlb","ak0mn",NA,NA,NA,1,NA,42,NA
"jjdtc","h31ly",NA,NA,2352.0107421875,1,NA,67,76
NA,"s21qk",NA,NA,NA,2,NA,84,NA
"kz2g3","ye577",0,NA,NA,1,4,33,41
"e19do","izb7u",NA,NA,NA,1,NA,41,45
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,4135.33447265625,NA,NA,2,64,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"dc668","ifxbn",NA,NA,NA,2,NA,37.5,32
"epu2p","wdt18",NA,NA,NA,2,NA,20.5,17.5
"j01g0","vdy56",NA,3242.33276367188,NA,2,NA,42,50
NA,NA,NA,NA,NA,2,NA,NA,NA
"yld2j","jxsdf",NA,NA,NA,1,NA,NA,NA
"jjdtc","h31ly",NA,NA,2352.0107421875,1,NA,67,76
"csxsp","p9d69",NA,NA,NA,2,NA,25,33
"l4048","rj01x",NA,NA,NA,2,NA,30.5,48
NA,"pv3uc",NA,NA,NA,2,NA,21,NA
NA,"cu3zf",NA,NA,NA,1,NA,78,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"rc10x","a4x4v",NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"xpo51","oenx4",NA,3964.9541015625,31.766918182373,2,NA,38,53
NA,NA,NA,NA,NA,NA,NA,NA,NA
"xuwsm","z0fx1",NA,369.50537109375,5289.39501953125,2,NA,21.5,28
"jjdtc","bepky",4920.8076171875,5488.13720703125,2352.0107421875,2,21.25,57,76
NA,NA,NA,NA,NA,2,NA,NA,NA
"kz2g3","ye577",NA,NA,NA,1,NA,33,41
"epu2p","is7f0",NA,NA,NA,2,NA,16,17.5
NA,"krz6v",NA,NA,NA,2,NA,75,NA
"r9nni","rvmrf",NA,NA,NA,1,NA,40,NA
NA,NA,6517.00732421875,NA,NA,NA,51,NA,NA
"nnu2w","x86yw",NA,3493.11254882812,NA,1,NA,14.5,22.3500003814697
"aewuf","gx46k",NA,NA,91.8478240966797,2,NA,16,16.3899993896484
"nyua3","oa30u",0,1014.07855224609,1282.51550292969,1,1,32,37
"tm63m","xcj17",NA,NA,NA,1,NA,56.5,66
"ku5yo","hrd79",NA,NA,NA,2,NA,30,46
"agwpw","tr8fg",NA,NA,NA,2,NA,46,NA
"uts70","ddwoq",NA,2706.81665039062,NA,2,NA,66,66
NA,"oyp2e",NA,1524.525390625,NA,1,NA,35,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
"ykdb5","ebdon",NA,NA,NA,2,NA,59,NA
"ngc5k","j466d",NA,NA,NA,2,NA,52,51
"ynuzi","tgbx9",NA,4231.89990234375,409.446563720703,2,NA,28.5599994659424,28.5
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"oh3sx",NA,NA,NA,2,NA,NA,NA
"plopm","yz0dy",NA,697.843933105469,NA,1,NA,57,NA
NA,NA,0,NA,NA,NA,4.34999990463257,NA,NA
"jrcy8","p9d69",NA,NA,NA,1,NA,25,39
NA,NA,NA,NA,NA,NA,NA,NA,NA
"xp3st","a4x4v",NA,NA,NA,2,NA,NA,NA
"ynuzi","tgbx9",NA,4231.89990234375,409.446563720703,1,NA,28.5599994659424,28.5
NA,"m3x5b",NA,NA,NA,1,NA,22,NA
"hmiqm","mv28x",NA,NA,1217.74340820312,1,NA,NA,61
NA,NA,NA,NA,NA,2,NA,NA,NA
"ykdb5","ebdon",NA,NA,NA,2,NA,59,NA
"wm4e3","tnh9r",61.3888893127441,NA,742.187316894531,2,38,64,63
"jml6w","b1aai",NA,NA,NA,1,NA,NA,59
"jml6w","b1aai",NA,NA,NA,2,NA,NA,59
"kx4f4","skuml",5017.22216796875,NA,NA,2,33,61,72
"xgzu7","c0e2u",0,NA,NA,2,20.5,61,44
"xgzu7","c0e2u",NA,NA,NA,2,NA,61,44
"bxt3q","rnpan",NA,NA,NA,1,NA,21,36
NA,NA,NA,NA,NA,NA,NA,NA,NA
"yld2j","jxsdf",NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
"bus6f","a0kwx",NA,NA,NA,2,NA,12,22
"y7018","pg57e",NA,1042.96643066406,NA,2,NA,37,49
"f03xz","kdf26",2481.63989257812,NA,NA,2,48,NA,88
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
"pz5xe","v1rzm",NA,2434.17529296875,NA,1,NA,47,NA
"wiwje","vvemo",NA,2296.67236328125,NA,1,NA,54,71
"arc3c","qmn6a",NA,722.73095703125,4324.80712890625,2,NA,21.5,23.5
"v84tz","ak0mn",NA,NA,NA,1,NA,42,47
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,NA,0,NA,NA,NA,4,NA,NA
"jjdtc","bepky",NA,5488.13720703125,2352.0107421875,1,NA,57,76
"l4048","rj01x",NA,NA,NA,2,NA,30.5,48
NA,NA,NA,NA,NA,1,NA,NA,NA
"ks0ic","a5bxr",NA,NA,NA,2,NA,74,68
"iom9u","lmwut",NA,NA,NA,2,NA,35,64
"qhhpo","imexw",NA,2594.77978515625,547.559997558594,2,NA,18.3299999237061,24.5200004577637
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2979.32397460938,NA,NA,NA,48,NA,NA
NA,"pmeh6",NA,2677.84301757812,NA,1,NA,31.5,NA
"ej4od",NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"oy686","jj2yn",NA,NA,NA,2,NA,19.5,22
NA,NA,NA,NA,NA,1,NA,NA,NA
"xpo51","vvemo",NA,2296.67236328125,31.766918182373,1,NA,54,53
"i0fra","p3mnx",NA,NA,2754.9638671875,1,NA,NA,61
"kz2g3","ye577",NA,NA,NA,1,NA,33,41
NA,NA,NA,NA,NA,NA,NA,NA,NA
"cnrrz","uxice",NA,NA,NA,1,NA,31,24
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"xbbuu","a4pbf",2971.93969726562,NA,NA,2,20.5,44,51
NA,NA,NA,NA,NA,NA,NA,NA,NA
"l4048","rj01x",NA,NA,NA,2,NA,30.5,48
"r9813","h8wk2",2659.98876953125,NA,NA,1,36.5999984741211,NA,76
"gvoap","gpb11",NA,NA,NA,1,NA,28.5,NA
"nnu2w","jei53",NA,NA,NA,2,NA,NA,22.3500003814697
"r9nni","rvmrf",NA,NA,NA,1,NA,40,NA
"f03xz","ao63o",NA,NA,NA,1,NA,78,88
"q5h43","fo60j",3205.93896484375,NA,NA,2,29.25,59,68
NA,"w2fgm",NA,NA,NA,2,NA,41,NA
"uf2oz","ogvt8",NA,NA,NA,1,NA,71,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"torxr","ruike",NA,NA,NA,2,NA,19,23
"arc3c","qmn6a",NA,722.73095703125,4324.80712890625,1,NA,21.5,23.5
NA,NA,NA,NA,NA,NA,NA,NA,NA
"w77sb","shfvq",NA,NA,NA,2,NA,NA,NA
"pz5xe","v1rzm",NA,2434.17529296875,NA,2,NA,47,NA
NA,NA,0,NA,NA,NA,2,NA,NA
"o284l","zm9fd",NA,NA,NA,1,NA,19.1000003814697,41
"b1x4h","pg57e",0,1042.96643066406,121.116668701172,2,2,37,37
NA,NA,NA,NA,NA,1,NA,NA,NA
"dtarc","qvp7r",NA,3079.54956054688,0,2,NA,23,23
"sytcn","j466d",NA,NA,NA,2,NA,52,41
NA,NA,NA,NA,NA,NA,NA,NA,NA
"l4048","rj01x",NA,NA,NA,1,NA,30.5,48
"rbhzm","ej9aw",NA,NA,NA,1,NA,61,66
"c7yda","o58eh",0,NA,3844.80151367188,1,33,68,71
"lu6pe",NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
"vc7kn","nt1nz",NA,4137.11083984375,NA,1,NA,32,46
"xyf3r","edm41",NA,NA,NA,2,NA,35,36
"jciki","zj5sw",NA,NA,NA,1,NA,56,27.5
NA,"yj31r",NA,NA,NA,2,NA,18,NA
"yelcr","nufgb",NA,NA,NA,1,NA,58,63
NA,NA,NA,NA,NA,1,NA,NA,NA
"tekry","llssn",NA,NA,NA,1,NA,61,68
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,"mlnzn",NA,NA,NA,2,NA,66,NA
NA,"e80bf",NA,NA,NA,1,NA,60,NA
"l8uy0","gy4cz",NA,NA,NA,2,NA,66,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
"c7yda","zziaa",NA,4823.505859375,3844.80151367188,1,NA,52.5,71
"t9fii","y3fem",NA,NA,NA,1,NA,39,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"l4048","rj01x",NA,NA,NA,1,NA,30.5,48
"evjer","wcb7x",NA,NA,NA,2,NA,70,NA
"ynuzi","tgbx9",NA,4231.89990234375,409.446563720703,1,NA,28.5599994659424,28.5
"uf2oz","ogvt8",NA,NA,NA,1,NA,71,NA
"qjtri","zacat",NA,NA,NA,2,NA,48,56
NA,NA,NA,NA,NA,1,NA,NA,NA
"un2am","lplfz",NA,2129.28271484375,4408.14501953125,2,NA,24,37
"xbbuu","a4pbf",NA,NA,NA,2,NA,44,51
"ligpw","fqdbd",0,1838.9453125,841.377319335938,1,0,34,37
NA,NA,NA,NA,NA,NA,NA,NA,NA
"jml6w","wxfl3",NA,NA,NA,2,NA,69,59
"d1n7j","gwgea",NA,87.2368392944336,NA,1,NA,17,24
NA,NA,NA,NA,NA,1,NA,NA,NA
"yiurd","bk2ju",NA,NA,NA,1,NA,40,53
NA,"ctnt0",NA,NA,NA,1,NA,22,NA
NA,"kqib1",NA,NA,NA,1,NA,15,NA
"tekry","llssn",NA,NA,NA,2,NA,61,68
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"psauo",NA,NA,NA,1,NA,34,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,NA,519.374450683594,NA,NA,NA,7,NA,NA
