"id","male","age","partners","livestock","land","RS","fid","agef","partnersf","livestockf","landf","RSf","has_parent_by"
"h8cli",0,30,NA,NA,NA,NA,"qfdbf",79,0,20,45,23,FALSE
"bzeak",1,37,0,15,4,8,"c7ouq",79,1,30,32,20,FALSE
"k4j13",0,26,NA,NA,NA,NA,"hvi12",87,2,60,45,21,FALSE
"zsdrx",0,33,NA,12,6,2,"eq2zq",73,0,10,15,11,FALSE
"escyh",0,36,NA,NA,NA,NA,"r6jmd",84,4,150,300,41,FALSE
"eh6t7",0,61,NA,NA,NA,NA,"hrjso",93,2,70,150,25,FALSE
"zwp9c",0,39,NA,NA,NA,NA,"nigg8",77,1,35,30,14,FALSE
"a9rbi",1,51,NA,5,4,12,"nigg8",77,1,35,30,14,FALSE
"vstz9",1,58,1,12,15,6,NA,NA,NA,NA,NA,NA,TRUE
"qe268",1,50,0,15,5,8,"uzsoe",85,0,55,70,21,FALSE
"q29mx",0,37,NA,4,2,5,"zwhg5",83,0,20,20,14,FALSE
"rn196",1,75,3,100,50,17,NA,NA,NA,NA,NA,NA,TRUE
"rrx38",1,30,NA,10,6,4,NA,NA,NA,NA,NA,NA,FALSE
"kta5y",0,20,NA,NA,NA,NA,"c7ouq",79,1,30,32,20,FALSE
"l6eo0",1,33,NA,2,4,4,"c7ouq",79,1,30,32,20,FALSE
"r4v65",1,17,NA,NA,NA,NA,"jtahy",80,1,60,55,14,FALSE
"gjyoq",1,31,NA,2,10,4,"lil7t",90,1,12,20,23,FALSE
"p1yun",1,34,NA,7,4,8,NA,NA,NA,NA,NA,NA,FALSE
"gilga",1,42,NA,9,4,7,"imv14",76,1,45,20,9,FALSE
"gavnu",1,56,NA,13,4,3,"imv14",76,1,45,20,9,FALSE
"lbyuv",1,34,NA,4,5,6,"pqe4n",78,1,45,20,16,FALSE
"vs88m",1,83,0,20,20,14,NA,NA,NA,NA,NA,NA,TRUE
"bl9ch",0,39,NA,11,7,2,NA,NA,NA,NA,NA,NA,FALSE
"qwyyw",1,41,0,14,6,8,"osgzw",66,1,40,25,10,FALSE
"rgmtx",1,42,1,20,7,8,"d55cc",85,3,110,100,32,FALSE
"ebem1",0,33,NA,10,20,6,"pqe4n",78,1,45,20,16,FALSE
"rk0lu",0,30,NA,NA,NA,NA,"qfdbf",79,0,20,45,23,FALSE
"o2to5",0,86,NA,1,3,11,NA,NA,NA,NA,NA,NA,FALSE
"q3qqk",0,57,0,6,19,7,NA,NA,NA,NA,NA,NA,FALSE
"swjk6",1,53,NA,12,7,18,NA,NA,NA,NA,NA,NA,FALSE
"m0xaj",0,42,NA,6,6,6,"ydecv",75,3,100,50,17,FALSE
"tbqe1",0,80,NA,3,4,5,NA,NA,NA,NA,NA,NA,FALSE
"i3eii",1,44,NA,3,2,2,"pqe4n",78,1,45,20,16,FALSE
"gu56f",1,41,2,3,3,2,NA,NA,NA,NA,NA,NA,FALSE
