"wealth","wealthf","male","age","fid"
0.5,NA,1,"59","r2ubr"
0.430000007152557,NA,0,".","oag1i"
0.25,NA,1,"58","q33f9"
NA,NA,0,".","qqbnf"
0,0,1,"40","b2wu6"
0.300000011920929,NA,0,"38","qqbnf"
0,NA,0,".","ddr29"
NA,NA,1,".","i9pcx"
0,NA,1,"32","u9ctr"
0,NA,1,"61","tho1c"
NA,NA,0,".","qqbnf"
NA,NA,0,".","i56gh"
0.25,NA,1,"40","jrmw3"
0,NA,0,"83","jdztw"
0.300000011920929,NA,0,".","lh22l"
0.5,NA,1,"59","lj552"
NA,0.25,0,"99","ibh9c"
NA,NA,0,".","xl9t1"
0,1,1,"90","kxdx4"
0.25,NA,1,"168","sh0yb"
0.25,NA,1,"40","c3hab"
1.04999995231628,0.300000011920929,1,"36","yj9f1"
0.25,NA,0,"88","ydjfm"
NA,NA,0,".","b2wu6"
NA,NA,0,".","faz12"
0,NA,0,"81","adj40"
0.0500000007450581,NA,1,"76","wxi1c"
0.649999976158142,NA,1,"51","hxjfz"
0.100000001490116,1,0,"90","aesm2"
0.25,NA,1,"82","txf3l"
NA,NA,1,".","yxu49"
1.75,NA,1,"44","d83w9"
0.300000011920929,NA,1,"59","i1sh2"
0.5,NA,0,".","wxi1c"
NA,NA,1,".","yj9f1"
NA,0.5,0,"53","xkfm8"
0.5,0.100000001490116,0,"72","qksi3"
0.280000001192093,NA,1,"78","lgnd9"
NA,NA,0,".","mvgf2"
NA,NA,0,".","u0jko"
0.280000001192093,0,0,"82","x63vp"
0.0500000007450581,NA,1,"88","mi3n9"
0.300000011920929,0,0,"55","y38mw"
NA,NA,0,".","dvezc"
0,NA,1,"33","wxi1c"
0,NA,0,".","adj40"
0,0,0,"38","xohx0"
NA,NA,0,".","g8teq"
1,NA,0,".","yqthz"
0,NA,0,".","lfd0v"
0,0,0,"90","ck0bf"
0.25,NA,1,"126","hcdmt"
0,NA,1,"64","reh80"
NA,0.100000001490116,0,"59","reh80"
0.100000001490116,NA,1,"44","gqd5q"
0.100000001490116,NA,0,"72","oekrn"
0,NA,0,".","mro6v"
0.0500000007450581,0.280000001192093,1,"46","ukopi"
0,NA,1,"56","lfd0v"
NA,NA,0,".","xtov7"
NA,NA,0,"90","lj552"
0.5,NA,1,"76","sqnlr"
0,NA,1,"30","n53lj"
NA,NA,1,".","lqqh2"
1,NA,1,"126","rbtlz"
0.0500000007450581,NA,1,"48","w3tqm"
0.100000001490116,NA,1,"84","uu5zu"
NA,NA,0,".","jrmw3"
0,NA,1,"35","utt1q"
NA,NA,1,".","i9pcx"
0.0500000007450581,0.100000001490116,1,"51","cdz06"
0.280000001192093,NA,1,"58","oekrn"
0,NA,1,"50","mro6v"
0,NA,0,".","n53lj"
NA,NA,1,".","mlgzl"
0.25,NA,1,"94","xtov7"
NA,NA,0,".","i1sh2"
0,0.5,1,"33","h4u71"
0.300000011920929,NA,0,".","vv8r3"
NA,NA,0,".","yj9f1"
NA,NA,1,".","o5bsz"
0,NA,1,"94","siax6"
0.300000011920929,NA,1,"70","i0un1"
0.5,NA,0,".","d7yfi"
0.25,0.100000001490116,1,"78","tk29w"
NA,NA,1,".","aptqv"
0,NA,1,"39","lfd0v"
NA,NA,0,".","hrykm"
0,NA,1,"31","d9lo8"
NA,NA,0,".","o5bsz"
0,NA,1,"57","pbu6b"
0,NA,0,".","x8ni5"
NA,NA,0,".","mlgzl"
0,NA,1,"37","yxu49"
0.379999995231628,NA,1,"74","adj40"
NA,NA,0,".","c3hab"
NA,NA,1,".","o5bsz"
NA,NA,0,".","wcowm"
0.150000005960464,0.25,0,"59","lh22l"
0.300000011920929,0,1,"63","i1sh2"
1,4,1,"65","lj552"
0.129999995231628,NA,0,"76","k11x9"
0.100000001490116,NA,0,".","n5ka4"
0,NA,0,".","tk29w"
0.0500000007450581,NA,0,".","uojmv"
0,NA,1,"39","m7c45"
NA,NA,0,".","qqbnf"
0.25,0.300000011920929,1,"42","wcowm"
NA,NA,0,".","sxy1w"
0,0.300000011920929,0,"39","dvezc"
0.25,NA,0,".","efp87"
NA,NA,1,".","xkfm8"
NA,NA,0,".","i9pcx"
0,NA,0,".","nxqbp"
NA,NA,0,".","mmkc9"
NA,NA,0,".","aptqv"
0.100000001490116,NA,0,".","lqmjw"
0.100000001490116,NA,0,".","eve88"
0.5,NA,0,".","w3tqm"
NA,NA,0,".","qqbnf"
0.0500000007450581,NA,0,".","ilxqu"
0,NA,1,"49","n53lj"
0,NA,1,"61","y38mw"
0.5,NA,0,"99","qs1bf"
0.25,NA,1,"100","tg73u"
0.349999994039536,NA,1,"39","bt6kt"
0,0,1,"82","eywgm"
NA,NA,1,".","mlgzl"
0,NA,1,"126","hk4xx"
0.0500000007450581,NA,1,"106","lqmjw"
NA,NA,1,".","sownw"
0,NA,1,"56","gg4na"
NA,NA,0,".","q33f9"
2,NA,0,".","lvh7i"
0,NA,0,".","cdz06"
0,NA,1,"45","wxi1c"
NA,NA,1,".","wpd36"
0,NA,1,"78","ihz49"
0.25,NA,0,".","uei8r"
0.129999995231628,0.600000023841858,1,"35","f9ee9"
1.29999995231628,NA,1,"83","kxdx4"
0.400000005960464,NA,1,"66","t289j"
0,NA,0,".","n53lj"
