"sex","land","kuniony","landf","uniony","idu"
2,0,"1761",0,1737,"PI1106"
2,0,"1797",0,1765,"HW1214"
1,187,"NA",149,1751,"UP0431"
1,6,"1782",17,1747,"LP0620"
1,0,"1757",0,1732,"GH0285"
1,61.5,"1841",162.75,1777,"FR0066"
2,0,"1775",0,1753,"GS1195"
2,0,"1779",2,1745,"PE0705"
2,0,"1856",13,1813,"LP0802"
1,100.5,"1781",181,1746,"LP1487"
2,36,"1801",87,1773,"PE1811"
1,0,"1787",0,1759,"GS2528"
1,88.25,"1812",137,1782,"GI0330"
2,6,"NA",0,1740,"EI0905"
1,85,"NA",95,1743,"VI0671"
1,0,"1740",50,1699,"GS0639"
1,11,"1740",0,1711,"GS2011"
1,0,"1794",0,1760,"UP0808"
2,0,"NA",7,1769,"PI1831"
1,11.25,"1824",8.25,1780,"GI1436"
2,0,"1779",0,1743,"HW0520"
1,0,"1865",0,1834,"GH0159"
2,0,"1746",0.5,1717,"GI0011"
2,0,"1763",5,1740,"PE0264"
1,0,"1786",0,1739,"UP0989"
1,0,"1797",0,1766,"GS1042"
2,106,"1792",97,1766,"PI1944"
2,12,"1784",8,1757,"GS1135"
1,0,"1758",0,1726,"GI1778"
2,0,"1753",70,1726,"GH0400"
2,13,"1740",45,1704,"WO0489"
2,16,"1793",2.5,1759,"EI0819"
1,15,"1833",10.5,1789,"LP0078"
1,104,"1796",80,1769,"VI0673"
2,0,"1775",0,1749,"UT1485"
2,0,"NA",127,1714,"GS2695"
2,5,"1808",144,1769,"CN0142"
1,89,"NA",111,1736,"WO0623"
1,0,"1806",0,1772,"PI1685"
2,0,"1797",0,1765,"PI0228"
1,106,"1789",86.5,1754,"GH0462"
2,91.5,"1796",4.5,1750,"EI0933"
2,0,"1786",0,1746,"PI0666"
1,147.75,"NA",318.799987792969,1784,"GI0312"
2,9,"1777",0,1735,"EI1444"
2,90.25,"1772",71.25,1743,"GI1157"
2,0,"1814",0,1778,"PI0864"
1,148,"1818",132,1775,"UP0698"
2,0,"1792",125,1753,"UT0024"
1,0,"1804",0,1772,"PI2179"
2,0,"1807",0,1782,"GS1076"
1,0,"1787",0,1763,"UT0306"
1,209,"1813",90.5,1765,"UT0401"
2,0,"1768",9,1731,"FR0858"
2,0,"1744",12,1722,"EI0807"
1,0,"1756",0,1719,"PI0002"
2,170,"1851",168,1816,"EI0528"
2,0,"1762",13,1740,"WO0098"
1,61.5,"1826",162.75,1777,"FR0066"
1,0,"1779",37.5,1748,"PI1987"
1,0,"1799",0,1769,"GS0771"
2,0,"1802",0,1767,"CH0348"
2,0,"1773",0,1732,"HW0038"
1,19,"1737",0,1695,"GS2378"
2,0,"1811",5,1795,"PI0309"
2,0,"1782",2,1744,"UT0898"
2,0,"1862",0,1831,"CN0452"
2,130,"1830",133.5,1801,"VI0405"
2,18,"1772",18,1748,"GI1130"
2,0,"1773",0,1732,"HW0038"
1,0,"NA",13.5,1755,"GS1015"
2,0,"1759",0,1717,"PI1108"
2,0,"1792",1,1769,"GS1544"
1,0,"1794",0,1767,"GI1840"
2,0,"1780",0,1747,"VI1362"
2,57,"1782",8,1759,"GS1730"
1,0,"1863",0,1821,"GH1932"
1,0,"1772",26,1735,"UT0405"
2,0,"1803",0,1774,"GH1047"
2,282,"1835",96.5,1814,"HW0460"
1,0,"1775",0,1748,"PI1375"
2,0,"1784",128,1745,"GH0007"
2,0,"1754",4.75,1732,"GI1566"
2,0,"1792",0,1756,"FR0458"
2,0,"NA",2.5,1736,"PE0038"
1,0,"1750",10,1719,"GH0745"
2,0,"1819",0,1796,"GS1044"
2,88.25,"1782",109,1755,"PI1946"
1,0,"1755",0,1726,"GH1437"
2,318.799987792969,"1784",172,1765,"GI1116"
2,10,"1763",10,1737,"UT0659"
1,169,"1835",0,1809,"GH1610"
1,37.9000015258789,"1848",148.199996948242,1816,"FR0836"
1,46,"1816",34,1778,"EI0210"
2,56,"1770",83,1744,"GS1687"
1,12,"1732",4,1702,"GH0497"
1,6,"1782",82.5,1747,"UT0690"
1,142.5,"1813",33,1774,"PI0807"
1,0,"1743",0,1710,"GH0510"
1,0,"1777",0,1743,"EI0382"
2,102,"1848",49,1810,"HW0463"
2,0,"1777",3,1743,"PE1671"
1,3,"1836",116.5,1801,"GH0689"
2,0,"1825",109,1790,"CI0211"
2,8,"1726",0,1692,"GH0289"
1,0,"1748",0,1717,"JE0002"
2,240,"1855",270,1829,"PI2140"
1,0,"1800",0,1771,"CN0367"
1,0,"1803",0,1775,"UT0889"
1,0,"1781",0,1740,"PI2333"
1,0,"1757",0,1730,"GI1844"
1,18,"1760",206.25,1731,"GI0627"
1,6,"NA",11,1766,"EI1298"
2,0,"1852",0,1813,"GS2314"
1,138,"1860",10,1816,"VI1594"
2,0,"1778",0,1732,"UP0986"
1,0,"1792",15,1750,"UT0756"
2,0,"1747",0,1716,"PI0795"
1,103,"1796",49,1773,"UT0806"
1,0,"1760",0,1733,"GI0851"
2,14,"1760",27,1735,"PI1333"
1,0,"1798",0,1774,"GS1239"
2,0,"1779",27,1735,"PI1333"
2,0,"1758",0,1731,"EI1593"
2,0,"1798",0,1772,"HW0311"
1,0,"NA",17,1748,"CN0691"
2,0,"1794",16,1769,"GS2533"
2,148,"1792",127.25,1761,"CI0409"
1,0,"1752",1,1729,"VI1109"
1,5,"NA",0,1784,"HW0726"
2,8,"1778",0,1755,"VI1390"
1,0,"1772",8,1733,"GH1632"
1,0,"1818",55,1757,"UP0047"
1,190,"1787",165,1748,"UP0924"
1,0,"1803",0,1764,"HW0157"
2,129,"1802",162.75,1777,"FR0066"
2,0,"1732",60,1710,"EI0124"
1,0,"1796",17,1748,"CN0691"
2,4.5,"1750",0,1717,"PI1632"
2,0,"1796",37.5,1764,"PI1988"
2,1,"1824",14,1792,"GS0012"
1,0,"1762",11,1735,"PE0383"
1,153.5,"1768",171,1729,"GH0086"
1,0,"1820",0,1786,"FR0175"
2,0,"1748",88.5,1729,"EI0931"
1,13.5,"NA",0,1694,"GH1639"
2,0,"1792",0,1767,"UP0536"
2,0,"1821",0,1799,"FR0453"
1,77,"1779",188.5,1751,"UT0018"
2,70,"1797",9,1762,"GH0390"
1,133.5,"1801",115,1757,"VI0590"
1,151,"1787",46,1745,"CN0528"
1,8,"1769",0,1733,"VI0312"
1,36,"1810",196,1764,"GH0352"
2,14,"1755",31,1733,"LP1042"
2,11,"1777",0,1751,"GH0432"
2,134,"1758",80,1735,"PI1238"
2,0,"1800",0,1777,"GS0363"
2,97,"1818",106,1792,"PI2195"
2,73.5,"1808",318.799987792969,1784,"GI0312"
2,5.5,"1771",27,1735,"PI1333"
1,18.5,"1818",80,1769,"VI0673"
1,0,"1745",0,1714,"GS2232"
1,0,"1782",0,1750,"GS1611"
1,0,"1789",0,1755,"GS1737"
1,0,"NA",0,1767,"UP0961"
2,142.600006103516,"1820",10.5,1789,"LP0078"
1,4,"1753",0,1716,"PI1421"
1,0,"NA",18,1759,"PI0358"
2,8,"1759",179.75,1734,"GI1225"
1,7.5,"1788",13.5,1758,"FR0083"
1,0,"1774",0,1743,"PI0533"
2,65,"1791",53,1767,"CH0175"
2,51,"1766",146,1744,"LP1736"
1,0,"1759",12,1732,"GH0006"
1,14.5,"1812",85,1780,"PI0689"
1,0,"NA",0,1753,"PI1376"
2,151,"1804",158,1783,"UP0502"
1,28.5,"1870",134.5,1826,"VI0778"
2,0,"1812",3,1777,"GS0137"
1,81.5,"NA",81.5,1751,"PI0019"
1,0,"1830",0,1795,"GI0866"
1,5,"1869",0,1838,"LP1568"
1,2.5,"NA",0,1732,"PE1805"
1,0,"1731",26,1694,"GH1317"
1,56,"1767",100,1734,"PI2373"
1,136.5,"NA",144,1768,"HW0651"
1,5,"1743",0,1710,"GH0510"
1,225,"1834",133.5,1801,"VI0405"
2,0,"1743",0,1712,"WO0684"
2,0,"1782",0,1759,"PI0346"
2,0,"NA",0,1742,"PI1005"
1,98,"1753",168,1713,"UP0892"
1,0,"NA",0,1703,"GH1221"
2,6,"1775",71.25,1743,"GI1157"
2,2.5,"1764",0,1730,"GI0089"
2,129,"1794",110,1765,"PE0054"
2,164,"NA",394,1838,"HW1076"
2,0,"1773",2.5,1736,"PE0038"
1,11,"1777",8,1753,"GH1732"
1,132,"1785",134,1756,"CI0033"
1,122.5,"1785",137.5,1760,"HI2914"
1,2,"1841",0,1810,"GS1507"
1,0,"NA",0,1742,"PI1327"
1,0,"1778",0,1753,"GH1003"
1,0,"1794",0,1769,"GH0874"
2,60,"1867",192,1828,"GH0878"
2,6,"1766",154,1733,"PE0110"
1,129,"1837",57,1782,"GS0979"
2,0,"1806",85,1737,"VI0685"
2,16,"1756",0,1731,"EI1201"
2,10,"1719",5,1696,"GH0069"
2,97.5,"1849",157,1815,"UT0928"
2,0,"NA",0,1753,"GH1890"
2,100,"1734",127,1714,"GS2695"
2,0,"1811",7,1767,"PI1319"
2,0,"1764",0,1739,"GI0532"
2,130,"1844",145.600006103516,1804,"GI0453"
1,37,"1813",77,1791,"UT0579"
2,0,"1775",0,1743,"GI0630"
1,0,"NA",7,1799,"GI2166"
2,0,"1800",6,1762,"EI0973"
1,0,"1751",0,1716,"PI0817"
1,0,"1849",0,1810,"WZ0146"
1,4.5,"1798",34,1758,"HI3108"
2,4,"1780",0,1753,"GH1890"
2,0,"1783",0,1742,"PI0996"
2,0,"1784",0,1752,"HW1001"
2,2,"1791",99.5,1768,"PI1984"
2,0,"1778",0,1742,"PI1005"
1,27,"1837",82,1789,"UT0840"
1,0,"1820",0,1779,"GS1744"
2,0,"1782",8.5,1751,"EI1206"
2,0,"1838",0,1799,"JE0839"
2,0,"1814",0,1792,"FR1274"
1,29,"1789",29,1752,"WO0631"
1,6,"1774",6,1745,"PE1713"
1,0,"1754",0,1717,"GH0683"
2,3,"1859",0,1819,"PI0537"
1,54,"1820",126.75,1781,"VI0544"
1,16.5,"1765",60,1737,"CN0345"
2,0,"1833",0,1798,"VI0740"
2,94.5,"1794",127.5,1761,"UT1058"
2,0,"1751",13,1731,"PE1845"
1,0,"1782",0,1734,"PI1124"
2,0,"1791",4,1755,"PI2474"
2,0,"1800",0,1758,"GS2739"
2,4,"1832",16,1795,"HW0881"
1,0,"1789",0,1748,"EI1152"
2,0,"1803",0,1766,"HW1267"
2,97,"1793",134.5,1767,"PE0605"
2,90,"1767",111,1736,"WO0623"
1,0,"1863",0,1831,"PI0501"
