"sex","land","kuniony","landf","uniony","idu"
2,80,"1769",75.25,1746,"VI0690"
1,0,"1851",0,1818,"PI1977"
1,0,"1804",0,1765,"PI0729"
1,0,"1810",0,1779,"UP0235"
2,0,"1790",0,1756,"GH0121"
2,17.25,"1812",16,1786,"FR0555"
2,0,"1816",0,1784,"PE1820"
2,49,"1810",132,1775,"UP0698"
2,9,"NA",100,1710,"GH0560"
2,8.5,"1793",74.5,1753,"FR0205"
2,99.5,"1768",79.5,1733,"PI2201"
1,9,"1780",9,1750,"LP0410"
1,0,"1765",5,1724,"GS0190"
1,31.5,"1801",87,1765,"PI1146"
2,0,"1804",4,1776,"CN0129"
2,0,"1742",50,1699,"GS0639"
2,0,"1835",0,1796,"PI0653"
1,0,"1798",0,1770,"UT0888"
1,90.5,"1789",6,1766,"PE0399"
1,154,"1863",129,1837,"GS0982"
2,0,"1804",0,1779,"PI0031"
1,0,"1839",7,1815,"GI2168"
2,0,"NA",0,1765,"GS1297"
2,82.5,"1778",149.5,1738,"PI0914"
1,0,"1775",0,1741,"EI0972"
2,0,"1794",0,1764,"JE0855"
1,0,"1771",0,1730,"PI1390"
1,0,"1807",0,1779,"GS1560"
2,0,"1762",0,1731,"FR0298"
1,0,"1790",0,1751,"PE1021"
1,6,"1846",19,1808,"PI1793"
2,0,"1749",0,1725,"GS1657"
1,0,"1785",0,1743,"PI0340"
1,0,"1771",0,1732,"PI1251"
1,0,"1778",0,1730,"GH0727"
1,0,"1756",0,1726,"PI0926"
1,89.5,"1794",2,1760,"PE0724"
1,13,"1786",12.75,1746,"UT1374"
1,0,"1873",0,1831,"LP0439"
2,26,"1801",21.7000007629395,1776,"GH1819"
2,0,"1769",0,1737,"GS0661"
2,126.75,"1781",126.75,1740,"VI1369"
1,243,"1819",146,1788,"UT1606"
1,8,"1841",8,1814,"GH1527"
1,0,"NA",0,1754,"GH0836"
1,0,"1797",11,1769,"GH1027"
2,145.600006103516,"1804",111,1781,"VI1740"
1,0,"1793",0,1737,"PI1004"
1,0,"1754",0,1726,"VI1664"
2,0,"1748",0,1719,"JE0515"
1,42.5,"1809",122.5,1785,"HI2921"
1,12,"1826",12,1789,"LP0386"
1,0,"NA",9,1727,"HI2095"
1,42,"1853",0,1814,"FR0645"
2,0,"1784",0,1740,"PI2430"
2,0,"1786",0,1747,"UP0638"
2,0,"1799",33,1774,"PI0807"
1,0,"1766",0,1734,"PI1124"
2,2.79999995231628,"1843",10,1813,"LP0213"
2,0,"1754",0,1716,"PI1421"
1,0,"1771",0,1748,"HW0682"
1,0,"1765",0,1736,"GS0295"
1,36.5,"1831",147,1797,"HW0466"
2,0,"1734",0,1696,"GH1510"
1,0,"1785",0,1747,"PI1952"
2,5,"1795",10,1769,"EI0947"
1,0,"NA",0,1742,"PI1005"
2,0,"1750",0,1721,"PI0712"
2,0,"1767",0,1743,"HW0520"
1,13.5,"1851",121.5,1818,"LP1921"
2,0,"1793",0,1764,"GH0333"
2,23,"1774",11.5,1746,"VI1268"
2,4,"1813",0,1785,"CN0189"
2,147,"1784",0,1759,"PI0364"
2,0,"1794",5,1763,"GH1879"
1,0,"1737",0,1708,"GS2055"
2,0,"1766",29.5,1738,"FR0700"
1,0,"NA",0,1754,"GH0836"
2,6,"1731",0,1696,"GH1082"
1,0,"NA",0,1766,"WO0582"
2,167.25,"1853",10.1999998092651,1828,"UT1514"
1,0,"1801",0,1776,"GS2635"
2,139,"1772",110,1749,"EI1638"
2,0,"1794",0,1759,"PI0390"
2,2.5,"NA",81,1723,"EI1257"
2,0,"1809",0,1770,"PI0155"
2,33,"1789",11.5,1746,"VI1268"
1,62,"1785",13.5,1755,"GS1015"
2,5,"1763",0,1740,"EI0905"
1,135,"NA",76.5,1771,"UT1883"
1,0,"1788",0,1761,"PI1869"
2,0,"1795",0,1742,"PI0996"
1,37.5,"1748",137,1716,"PI2329"
