"mid","rsm","rs","age","agem","schedcst"
"wofdz",3,NA,23,47,1
"wrl81",3,0.939999997615814,34,67,0
"ees27",5,2.94000005722046,40,60,1
"u5kv7",2,NA,48,60,1
"ahckd",1,3.88000011444092,33,62,1
"d0u1m",5,NA,65,70,1
"w234a",6,NA,32,65,1
"rqn4h",8,NA,24,65,1
"umly5",6,NA,44,45,1
"ia2gq",6,NA,28,75,1
"rhzuj",6,1.94000005722046,35,70,1
"ix3z5",6,1.94000005722046,32,60,1
"o5pzg",3,2.94000005722046,31,45,1
"t6s57",3,2.94000005722046,40,70,1
"m8sfz",6,3.88000011444092,38,68,1
"gyqtf",4,1.94000005722046,32,47,1
"u6ki9",8,NA,57,82,1
"rfns3",6,NA,40,75,1
"doakl",7,0.939999997615814,29,65,0
"vfycx",7,NA,30,65,0
"cuo41",5,2,33,65,1
"ftsoh",5,NA,80,85,1
"fyb16",2,NA,30,40,1
"swv2c",3,NA,33,32,1
"ohfr7",4,NA,21,45,0
"nh33w",5,NA,39,56,0
"xqnl2",5,3.94000005722046,40,62,1
"brtst",5,1.94000005722046,36,70,0
"fmgw0",7,NA,37,65,1
"ddwa6",6,NA,33,65,1
"bbonw",3,5.88000011444092,60,70,1
"heuh1",3,3,35,30,1
"ytb1t",7,4.88000011444092,42,90,0
"yyhgd",6,2.88000011444092,38,65,1
"nced2",8,NA,65,85,1
"a9zbh",4,NA,28,45,1
"xm4l6",7,NA,21,60,0
"s1n0d",2,NA,32,50,1
"q89oy",4,4,50,70,0
"bp8vg",7,NA,32,65,0
"arurl",5,2.94000005722046,38,55,1
"jed52",8,2.94000005722046,35,62,1
"x38d3",6,NA,27,62,1
"lvp7e",6,NA,50,80,1
"z41wr",5,4.94000005722046,43,60,1
"s78mo",4,NA,45,62,1
"szlv3",7,NA,29,56,1
"xvy51",7,NA,45,55,1
"gg3x5",3,4.88000011444092,35,70,0
"hmw2w",3,NA,38,52,1
"y2wwc",7,0.939999997615814,32,65,0
"ukr8a",3,3.94000005722046,35,60,1
"h35vf",6,4.94000005722046,40,67,1
"zt5a3",2,NA,42,40,1
"hbycq",4,NA,50,65,1
"o3ore",1,2.88000011444092,40,70,1
"xixn4",5,NA,40,75,0
"a32mo",3,1.94000005722046,36,45,1
"j30lo",8,NA,32,60,1
"umly5",6,2.94000005722046,39,45,1
"xdubn",6,NA,52,80,1
"skcm9",2,5,40,62,1
"ssp64",8,NA,52,80,0
"slhyj",6,0.939999997615814,30,65,1
"mulcr",10,NA,28,60,1
"o0n6x",3,4,45,80,1
"xp8vl",6,0.939999997615814,26,45,1
"qin5x",5,0.939999997615814,37,55,0
"sn5i1",2,1.87999999523163,32,50,1
"or1oj",3,NA,70,75,1
"sabjn",2,3.88000011444092,38,65,1
"igwi6",5,NA,35,70,1
"o7pys",3,NA,32,60,1
"bxvt5",5,1.87999999523163,30,45,1
"podrs",4,NA,42,70,1
"auqez",1,2,33,55,1
"ayhfp",3,4.94000005722046,40,57,1
"p41e0",5,1.94000005722046,40,65,0
"gg305",9,NA,28,80,1
"wgncs",4,1.87999999523163,35,60,0
"mav7c",10,0.939999997615814,36,60,1
"cue96",9,NA,34,65,0
"ddd0y",6,NA,62,70,1
"uudxx",6,NA,41,74,0
"xqnl2",7,4,45,62,1
"abguh",2,0.939999997615814,26,45,1
"zohh4",7,NA,24,55,1
"l5ust",8,NA,52,85,1
"f3f2l",3,NA,35,80,1
"cx8js",8,2.94000005722046,48,45,0
"iops6",4,NA,31,58,1
"df903",6,NA,39,65,1
"egk3e",6,NA,34,50,0
"c5bey",6,5,50,70,1
"nced2",8,5.94000005722046,45,85,1
"v8gef",4,NA,41,58,1
"wz8yb",3,NA,21,62,1
"yg55o",7,0.939999997615814,39,45,1
"jjqm4",7,2.94000005722046,46,65,1
"u4epy",4,NA,38,62,1
"mgdw4",7,NA,40,46,1
"mj2y5",3,NA,60,55,0
"nb0x9",7,NA,35,75,1
"yg55o",7,NA,21,45,1
"pkbx5",7,NA,33,54,1
"t6s57",3,NA,35,70,1
"lss3j",4,3,40,65,0
"l1pcl",6,NA,33,67,1
"c3k81",8,NA,52,66,0
"yyhgd",6,1.94000005722046,42,65,1
"nej4k",2,NA,30,60,1
"edasu",4,2.94000005722046,33,52,1
"cfb9d",7,3.94000005722046,30,58,1
"brtst",5,NA,43,70,0
"nr1qf",5,NA,27,55,1
"b3ck6",4,3.94000005722046,42,45,1
"ujz0j",7,NA,27,40,1
"ycddn",4,3.94000005722046,34,65,1
"ojq4g",2,0.939999997615814,35,45,1
"rqn4h",8,NA,27,65,1
"ftsoh",5,NA,70,85,1
"uksh3",6,NA,36,60,0
"saqx6",5,6.94000005722046,53,90,1
"tzyl4",3,3,36,70,0
"wz8yb",3,0.939999997615814,31,62,1
"w9302",7,0.939999997615814,35,50,1
"nt0rl",3,7,60,69,1
"zzx1f",4,NA,42,75,1
"sf4ie",6,0.939999997615814,30,50,1
"exnp1",4,NA,36,52,0
"ode63",7,NA,21,50,1
"szlv3",7,NA,31,56,1
"kv5vn",7,NA,42,65,0
"b1jm5",6,6,45,65,1
"hmme1",7,NA,21,55,1
"kfkad",8,NA,34,42,1
"wpm5s",7,NA,29,67,1
"kfkad",8,NA,38,42,1
"njm7o",11,NA,34,58,1
"apzl6",4,4.94000005722046,40,60,1
"mbypv",4,NA,50,60,1
"rnnm8",6,0.939999997615814,30,50,1
"heuh1",3,2.88000011444092,32,30,1
"pkbx5",7,3.94000005722046,37,54,1
"ubb4b",4,2.88000011444092,35,60,1
"jed52",8,0.939999997615814,32,62,1
"d6b8c",5,0.939999997615814,43,35,1
"tjwnl",3,0.939999997615814,32,35,1
"qkqh3",6,NA,25,50,1
"uksh3",6,NA,33,60,0
"ec3eu",5,0.939999997615814,30,65,1
"waba2",2,3.94000005722046,40,60,1
"snb3j",6,NA,38,60,1
"zamze",6,2.94000005722046,35,60,1
"iy4bl",2,3.94000005722046,40,60,1
"bxvt5",5,NA,25,45,1
"ou59e",8,0.939999997615814,32,57,1
"d6b8c",5,NA,37,35,1
"mlwk3",2,1.94000005722046,40,50,1
"mgdw4",7,5,45,46,1
"xdubn",6,NA,48,80,1
"lbzsj",9,1.87999999523163,36,65,1
"xq5t5",7,NA,35,75,1
"ily5j",1,4,45,65,1
"m8sfz",6,0.939999997615814,28,68,0
"ckd9c",4,NA,45,80,1
"v5dku",6,2.94000005722046,42,60,1
"ya59c",10,NA,27,65,1
"h359a",1,0.939999997615814,29,55,1
"e6e2m",4,2.94000005722046,35,60,1
"exj5h",6,5.94000005722046,50,60,1
"qelpt",2,0.939999997615814,30,61,1
