"assets","estatevaluef","age","agef"
546.400024414062,224.300003051758,52.7999992370605,57.5999984741211
104.800003051758,210.699996948242,40.4000015258789,62.5
205.399993896484,73.6999969482422,39.7999992370605,56.7000007629395
148.899993896484,137.300003051758,53.0999984741211,NA
302.299987792969,235.199996948242,43.5,52.2000007629395
10.1999998092651,99.3000030517578,54.5999984741211,NA
325.100006103516,312.899993896484,55,NA
168.699996948242,562.299987792969,66.5999984741211,69.5999984741211
66.3000030517578,64.0999984741211,33.0999984741211,67.5
340.200012207031,829.099975585938,38.0999984741211,47.5999984741211
56.7999992370605,492.200012207031,27,52.2000007629395
767.400024414062,586.700012207031,75,52.4000015258789
127,367.799987792969,45.2000007629395,63.9000015258789
362.399993896484,678.400024414062,56.2000007629395,72.4000015258789
383.5,256.200012207031,61,33
